,restaurant,rating,genre,price,address
55,Jim Thompson,3.9,Thai,SGD175 for two,"Ridout, Tanglin, Singapore"
56,Cicheti,3.3,Italian,SGD100 for two,"Kampong Glam, Rochor, Singapore"
57,Me At Oue,3.9,"Chinese, French, Japanese",SGD180 for two,"Collyer Quay, Downtown Core, Singapore"
58,Db Bistro & Oyster Bar,4.2,"American, Continental, French, Seafood",SGD250 for two,"The Shoppes, Downtown Core, Singapore"
59,Binomio,3.9,Spanish,SGD180 for two,"Craig Road, Outram, Singapore"
60,Wing Seong Fatty's Restaurant,3.2,"Asian, Chinese",SGD30 for two,"Bencoolen Street, Rochor, Singapore"
61,Two Bakers,3.9,"Bakery, French, American, Cafe",SGD50 for two,"Beatty Lane, Kallang, Singapore"
62,Grub,3.6,"Finger Food, Burger, Fast Food",SGD55 for two,"Upper Thomson, Bishan, Singapore"
63,Koh Grill & Sushi Bar,3.8,"Sushi, Japanese, Asian",SGD60 for two,"Wisma Atria, Orchard, Singapore"
64,Project Acai,3.9,"Healthy Food, Juices, Western",SGD20 for two,"Lorong Liput, Bukit Timah, Singapore"
65,L'¨¦clair Patisserie,3.9,"Cafe, Bakery",SGD60 for two,"Dhoby Ghaut, Museum, Singapore"
66,Katanashi,3.6,"Japanese, Spanish, Sushi",SGD60 for two,"Boat Quay, Singapore River, Singapore"
67,Ding Dong,3.9,"Singaporean, Chinese, Asian",SGD40 for two,"Amoy Street, Outram, Singapore"
68,Aquamarine,3.9,"Asian, Japanese, Seafood, Singaporean, Chinese",SGD105 for two,"Marina Square, Downtown Core, Singapore"
69,Keng Eng Kee Seafood,3.9,"Hainanese, Chinese, Seafood",SGD60 for two,"Alexandra Hill, Bukit Merah, Singapore"
70,Char,3.9,"Chinese, Singaporean, Cantonese",SGD50 for two,"Jalan Besar, Kallang, Singapore"
71,Lawry's The Prime Rib Singapore,3.9,"American, Steak",SGD220 for two,"Orchard Road, Orchard, Singapore"
72,Fatcat Ice Cream Bar,3.9,"Desserts, Ice Cream",SGD50 for two,"Bedok North, Bedok, Singapore"
73,Dulcet & Studio,3.2,"Bakery, Desserts",SGD40 for two,"Clarke Quay, Singapore River, Singapore"
74,Roadhouse,2.1,"American, Continental",SGD75 for two,"Ridout, Tanglin, Singapore"
75,Hvala Waffle Bar,3.9,"Bakery, Ice Cream, Desserts",SGD40 for two,"313@somerset, Orchard, Singapore"
76,Indochili,3.7,"Seafood, Indonesian, Teppanyaki, Malay",SGD60 for two,"Zion Road, Tanglin, Singapore"
77,Mad About Sucre,2.4,"French, Bakery",SGD40 for two,"Chinatown, Outram, Singapore"
78,New Ubin Seafood,3.9,"Singaporean, Seafood, BBQ",SGD80 for two,"Upper Thomson, Bishan, Singapore"
79,The Bakery Chef,3.9,"Bakery, Desserts, American",SGD30 for two,Bukit Merah
80,Sacha & Sons,2.9,"American, Sandwich",SGD50 for two,"Orchard Road, Orchard, Singapore"
81,Wine Connection Cheese Bar,3.9,"French, Italian, Swiss",SGD85 for two,"Robertson Quay, Singapore River, Singapore"
82,Ginza Tendon Itsuki,3.6,Japanese,SGD40 for two,"Chinatown, Outram, Singapore"
83,Paddy Hills,3.9,"Chinese, French, Japanese, Spanish, Australian",SGD65 for two,"Pasir Panjang 2, Queenstown, Singapore"
84,D'good Cafe,3.9,Western,SGD35 for two,"Lorong Mambong, Bukit Timah, Singapore"
85,L'atelier De Joel Robuchon,3.9,"Japanese, Spanish",SGD200 for two,"Sentosa Gateway, Southern Islands, Singapore"
86,Gastrosmiths,3.8,"Asian, Singaporean, French",SGD80 for two,"East Coast Road, Marine Parade, Singapore"
87,Slake,3.9,"Cafe, Fast Food",SGD70 for two,"Frankel, Bedok, Singapore"
88,Hyde & Co,3,"Cafe, Fusion",SGD60 for two,"North Bridge Road, Rochor, Singapore"
89,Joo Bar,3.9,"Asian, Korean, Japanese",SGD90 for two,"Bugis, Downtown Core, Singapore"
90,Fill A Pita,3.9,"Mediterranean, Turkish",SGD15 for two,"Cross Street, Outram, Singapore"
91,Joe's Kitchen Thai Cuisine,3.4,Thai,for two,"Bukit Merah Lane 1, Bukit Merah, Singapore"
92,Capricci,3.9,Italian,SGD140 for two,"Tanjong Pagar Road, Outram, Singapore"
93,Long Chim,2.8,"Continental, Thai",SGD120 for two,"The Shoppes, Downtown Core, Singapore"
94,Dstllry,2.1,Japanese,SGD50 for two,"Media Circle, Queenstown, Singapore"
95,Bincho,3.6,"Japanese, Singaporean, Chinese",SGD100 for two,"Tiong Bahru, Bukit Merah, Singapore"
96,Bing Go Jung,3.3,"Desserts, Korean",SGD10 for two,"Guillemard Road, Geylang, Singapore"
97,Dolce Vita,3.4,Italian,SGD215 for two,"Marina Square, Downtown Core, Singapore"
98,Wild Rocket,3.9,"Asian, Singaporean, Seafood",SGD175 for two,"Upper Wilkie Road, Newton, Singapore"
99,Teppei Japanese Restaurant,3.8,"Japanese, Sushi",SGD120 for two,"Tras Street, Outram, Singapore"
100,La Petite Cuisine,3.9,"French, Bakery",SGD50 for two,"Jalan Serene, Tanglin, Singapore"
101,Nom - Bistro & Bakery,3.8,"Cafe, Bakery",SGD40 for two,"Macpherson, Geylang, Singapore"
102,StraitsKitchen,3.9,"Singaporean, Chinese, Indian, Malay, Desserts",SGD110 for two,"Scotts Road, Orchard, Singapore"
103,Sin Lee Foods,3.7,American,SGD60 for two,"Bukit Ho Swee, Bukit Merah, Singapore"
104,Sons,2.4,Italian,SGD90 for two,"Cross Street, Outram, Singapore"
105,Sapporo Ramen Miharu,-,Japanese,SGD60 for two,"Millenia Walk, Downtown Core, Singapore"
106,Kaiserhaus,3.5,"Continental, European, Singaporean, German",SGD115 for two,"City Hall, Downtown Core, Singapore"
107,Archipelago Creamery,-,"Desserts, Bakery",SGD40 for two,"Yunnan, Jurong West, Singapore"
108,Chikuwa Tei,2.9,"Japanese, Sushi",SGD60 for two,"Mohamed Sultan Road, Singapore River, Singapore"
109,Tatsu,3.9,"Sushi, Japanese",SGD210 for two,"Central Subzone, Downtown Core, Singapore"
110,Rise,3.6,"Singaporean, Chinese, Healthy Food, Sushi, Japanese, Indian",SGD220 for two,"Marina Bay Overpass, Marina South, Singapore"
111,Sync Korean Tapas Bar,-,"Korean, Western, Fusion, Spanish",SGD70 for two,"Maju Avenue, Serangoon, Singapore"
112,ISteamboat Chinese Restaurant,3.2,"Singaporean, Chinese",SGD30 for two,"Collyer Quay, Downtown Core, Singapore"
113,Platypus Lobster Shack,-,"Salad, Healthy Food, Seafood, Greek, American, Italian",SGD85 for two,"China Square, Outram, Singapore"
114,Esquina,3.9,Spanish,SGD200 for two,"Jiak Chuan Road, Outram, Singapore"
115,Tea Lounge,2.3,"European, Cafe, Tea",SGD100 for two,"Orchard Spring Lane, Orchard, Singapore"
116,Moosehead Kitchen - Bar,3.4,"Greek, Spanish, Mediterranean",SGD140 for two,"Telok Ayer Street, Outram, Singapore"
117,Leo Cafe & Restaurant,3.6,"Asian, Western",SGD50 for two,"Albert Street, Rochor, Singapore"
118,Bar-roque Grill,3.4,"French, Steak",SGD120 for two,"Chinatown, Outram, Singapore"
119,Palm Beach,3.9,"Seafood, Singaporean",SGD85 for two,"Clifford Pier, Downtown Core, Singapore"
120,Arteastiq Boutique Tea House,3.6,"Cafe, Fast Food, European",SGD55 for two,"Orchard Road, Orchard, Singapore"
121,The Halia at Singapore Botanic Gardens,3.5,"Asian, Fusion, European",SGD160 for two,"Tyersall, Tanglin, Singapore"
122,Yan Ting,3.9,"Continental, Cantonese",SGD165 for two,"Tanglin, Orchard, Singapore"
123,Town Restaurant,2.7,"Singaporean, Healthy Food, Seafood, Continental, European",SGD170 for two,"Collyer Quay, Downtown Core, Singapore"
124,Morton's The Steakhouse,3.2,"Seafood, American, Steak, Singaporean, Desserts",SGD200 for two,"Marina Square, Downtown Core, Singapore"
125,Bread Street Kitchen,4.1,"Continental, European",SGD180 for two,"The Shoppes, Downtown Core, Singapore"
126,DC Comics Super Heroes Cafe,3.6,"American, Fast Food",SGD60 for two,"The Shoppes, Downtown Core, Singapore"
127,Wan Hao Chinese Restaurant,3.5,"Chinese, Dim Sum, Continental, Cantonese",SGD120 for two,"Orchard Road, Orchard, Singapore"
128,Garibaldi Italian Restaurant & Bar,3.7,Italian,SGD295 for two,"Purvis Street, Downtown Core, Singapore"
129,Jaan,4.3,French,SGD300 for two,"Raffles City Shopping Centre, Downtown Core, Singapore"
130,TWG Tea on the Bridge,3.9,"Cafe, European, Tea",SGD120 for two,"Bayfront Subzone, Downtown Core, Singapore"
131,Restaurant Andre,3.9,"French, Mediterranean, European",SGD500 for two,"Cantonment Road, Outram, Singapore"
132,Jollibee,3.8,"Burger, American, Asian, Filipino, Fast Food",SGD30 for two,"Lucky Plaza, Orchard, Singapore"
133,Ippudo Singapore,3.9,Japanese,SGD55 for two,"Orchard Road, Orchard, Singapore"
134,Paradise Dynasty,3.7,"Chinese, Dim Sum, Sichuan",SGD80 for two,"Ion Orchard, Orchard, Singapore"
135,Kiseki Japanese Buffet Restaurant,3.3,"Japanese, Sushi",SGD70 for two,"Orchard Road, Orchard, Singapore"
136,FOC Restaurant,3.8,Spanish,SGD100 for two,"Boat Quay, Singapore River, Singapore"
137,Yantra,3.3,Indian,SGD150 for two,"Tanglin Mall, Orchard, Singapore"
138,Chye Seng Huat Hardware,3.9,Cafe,SGD40 for two,"Lavender, Kallang, Singapore"
139,Starbucks Coffee,3.7,Cafe,SGD25 for two,"Ion Orchard, Orchard, Singapore"
140,Jamie's Italian,2.9,"Italian, European",SGD95 for two,"Maritime Square, Bukit Merah, Singapore"
141,Odette,3.9,"Continental, French",SGD490 for two,"City Hall, Downtown Core, Singapore"
142,Grain Traders,3.7,"Salad, Healthy Food, Western, Cafe",SGD40 for two,"Stanley Street, Downtown Core, Singapore"
143,Toby's Estate,3.6,"Cafe, American, Bakery",SGD40 for two,"Robertson Quay, Singapore River, Singapore"
144,Punjab Grill,3.7,"Indian, North Indian, Middle Eastern",SGD275 for two,"The Shoppes, Downtown Core, Singapore"
145,Cedele,3.3,"Cafe, Western, American, Bakery",SGD70 for two,"Wheelock Place, Orchard, Singapore"
146,Sushi Tei,3.5,"Sushi, Japanese",SGD50 for two,"Ngee Ann City, Orchard, Singapore"
147,Buffet Town,3,"Seafood, Italian, Japanese, Singaporean, Thai",SGD80 for two,"Raffles City Shopping Centre, Downtown Core, Singapore"
148,The Landing Point,3.9,"Bar Food, Salad, Sandwich, Healthy Food, Cafe",SGD100 for two,"Clifford Pier, Downtown Core, Singapore"
149,The Clifford Pier,3.8,"Asian, Western",SGD135 for two,"Collyer Quay, Downtown Core, Singapore"
150,Common Man Coffee Roasters,4,Cafe,SGD60 for two,"Institution Hill, River Valley, Singapore"
151,Jtown Cafe,3.8,"Indonesian, Singaporean",SGD20 for two,"Orchard Road, Orchard, Singapore"
152,Group Therapy,3.5,"Cafe, Desserts",SGD40 for two,"Chinatown, Outram, Singapore"
153,Taste Paradise,3.8,"Chinese, Dim Sum, Fusion, Cantonese",SGD100 for two,"Ion Orchard, Orchard, Singapore"
154,Park Bench Deli,3.6,"American, Sandwich",SGD50 for two,"Telok Ayer Street, Outram, Singapore"
155,Swensen's,3.1,"American, Italian, Asian, Ice Cream",SGD50 for two,"Plaza Singapura, Museum, Singapore"
156,Don Quijote Spanish Restaurant,3.9,"Seafood, Spanish",SGD140 for two,"Ridout, Tanglin, Singapore"
157,Samy's Curry Restaurant,3.8,"Indian, Singaporean",SGD55 for two,"Ridout, Tanglin, Singapore"
158,Raffles Grill,2.2,"French, Continental",SGD500 for two,"Beach Road, Downtown Core, Singapore"
159,Artemis Grill,3.9,"Bar Food, Greek, Mediterranean",SGD130 for two,"Stanley Street, Downtown Core, Singapore"
160,Pezzo,3.9,"Pizza, Italian, Western",SGD15 for two,"Ion Orchard, Orchard, Singapore"
161,Red House,3.8,"Singaporean, Seafood",SGD120 for two,"Robertson Quay, Singapore River, Singapore"
162,K Cook Korean Bbq Buffet,3.7,"Korean, Asian, BBQ",SGD120 for two,"Orchard Road, Orchard, Singapore"
163,Paulaner Brauhaus,3.9,"German, Singaporean, European",SGD90 for two,"Duxton Road, Downtown Core, Singapore"
164,Salt Tapas & Bar,3.7,"Australian, Bar Food, Spanish",SGD130 for two,"Seah Street, Downtown Core, Singapore"
165,I'm KIM Korean BBQ,3.4,"Asian, Korean, BBQ",SGD60 for two,"Zubir Said Drive, Rochor, Singapore"
166,Swensen's,3.7,"Desserts, Bakery, Ice Cream",SGD40 for two,"Tampines Central 5, Tampines, Singapore"
167,Min Jiang,3.6,"Chinese, Cantonese, Dim Sum, Sichuan",SGD200 for two,"Claymore Hill, Orchard, Singapore"
168,Todai,-,"Sushi, Seafood, Japanese",SGD125 for two,"The Shoppes, Downtown Core, Singapore"
169,Ah-tai Hainanese Chicken Rice,3.1,"Hainanese, Singaporean, Chinese",SGD20 for two,"Neil Road, Downtown Core, Singapore"
170,Jian Bo Shui Kweh,3.9,"Singaporean, Chinese",SGD20 for two,"Central Expressway, Bukit Merah, Singapore"
171,The Queen & Mangosteen,3.2,"European, Steak, Fusion",SGD240 for two,"Maritime Square, Bukit Merah, Singapore"
172,Aoki Restaurant,2.3,"Japanese, Sushi",SGD250 for two,"Orchard Road, Orchard, Singapore"
173,Delicious Boneless Chicken Rice,3.9,"Singaporean, Chinese, Cantonese",SGD20 for two,"Katong Shopping Centre, Marine Parade, Singapore"
174,Platypus Kitchen,2.9,"Singaporean, Italian, Mediterranean",SGD85 for two,"Victoria Street, Downtown Core, Singapore"
175,Crystal Jade Palace Restaurant,3.9,"Chinese, Teppanyaki, Cantonese, Seafood",SGD110 for two,"Ngee Ann City, Orchard, Singapore"
176,The Lighthouse,3.8,"Italian, Mediterranean, Seafood",SGD200 for two,"Clifford Pier, Downtown Core, Singapore"
177,Summer Palace,3.9,"Dim Sum, Chinese, Cantonese",SGD150 for two,"Orchard Spring Lane, Orchard, Singapore"
178,Royal China,2.5,"Chinese, Dim Sum, Seafood, Cantonese",SGD85 for two,"Seah Street, Downtown Core, Singapore"
179,Forlino,3.4,Italian,SGD220 for two,"Collyer Quay, Downtown Core, Singapore"
180,Restaurant Ember,-,"French, Fusion",SGD200 for two,"Chinatown, Outram, Singapore"
181,Maguro-donya Miura-misaki-kou,3.5,"Japanese, Seafood, Sushi",SGD85 for two,"Suntec City, Downtown Core, Singapore"
182,Peony Jade,-,"Chinese, Sichuan",SGD95 for two,"River Valley Road, Singapore River, Singapore"
183,Rich & Good Cake Shop,-,"Bakery, Desserts",SGD20 for two,"Kampong Glam, Rochor, Singapore"
184,Sun With Moon,3.3,Japanese,SGD150 for two,"Boulevard, Orchard, Singapore"
185,Restaurant Labyrinth,3.9,"Singaporean, Fusion",SGD200 for two,"Marina Centre, Downtown Core, Singapore"
186,Wimbly Lu Chocolates,3.7,"American, Bakery",SGD30 for two,"Lorong Chuan, Serangoon, Singapore"
187,Shang Palace,3.5,"Chinese, Seafood, Cantonese",SGD200 for two,"Orange Grove Road, Tanglin, Singapore"
188,Seorae Singapore - Korean Charcoal Bbq,3.9,"Asian, Korean, BBQ",SGD90 for two,"Plaza Singapura, Museum, Singapore"
189,Hainanese Delicacy,-,"Hainanese, Singaporean, Chinese",SGD30 for two,"Far East Plaza, Orchard, Singapore"
190,The Pelican Seafood Bar & Grill,2.8,"American, Seafood, Bar Food, Cafe",SGD110 for two,"Clifford Pier, Downtown Core, Singapore"
191,Sanpoutei Ramen,3.8,Japanese,SGD50 for two,"Holland Avenue, Bukit Timah, Singapore"
192,Stellar,-,Australian,SGD300 for two,"Church Street, Downtown Core, Singapore"
193,8 Korean BBQ,3,"Asian, Korean, BBQ",SGD100 for two,"The Central, Singapore River, Singapore"
194,Ellenborough Market Cafe,3.6,"Chinese, Peranakan, Singaporean",SGD85 for two,"Clarke Quay, Singapore River, Singapore"
195,Cherry Garden,3.9,"Chinese, Continental, Seafood, Cantonese, Dim Sum",SGD150 for two,"Marina Square, Downtown Core, Singapore"
196,Keyaki,3.7,"Sushi, Japanese",SGD200 for two,"Marina Centre, Downtown Core, Singapore"
197,District 10 Bar & Restaurant,2.9,"Continental, Bar Food",SGD90 for two,"Ue Square Shopping Mall, Singapore River, Singapore"
198,Li Bai Cantonese Restaurant,3.3,"Cantonese, Dim Sum, Seafood",SGD185 for two,"Scotts Road, Newton, Singapore"
199,L'espresso,2.9,"Cafe, Dim Sum, European, Chinese",SGD85 for two,"Claymore Hill, Orchard, Singapore"
200,Legendary Hong Kong,2.8,"Chinese, Cantonese, Dim Sum",SGD40 for two,"Jurong West Central 3, Jurong West, Singapore"
201,Ya Kun Kaya Toast,3.6,"Cafe, Asian",SGD60 for two,"China Street, Outram, Singapore"
202,House,-,"Fusion, American, Pizza, Italian, Sandwich",SGD85 for two,"Ridout, Tanglin, Singapore"
203,No Signboard Seafood,3.7,"Seafood, Singaporean, Chinese",SGD130 for two,"Sentosa Gateway, Bukit Merah, Singapore"
204,Oceans Of Seafood,3.7,"Japanese, Seafood, Sushi",SGD105 for two,"Swiss Club, Bukit Timah, Singapore"
205,Pete's Place,3.9,"Middle Eastern, Italian, Pizza",SGD95 for two,"Scotts Road, Orchard, Singapore"
206,Real Food Cafe,-,"Asian, European, Healthy Food, Fusion",SGD35 for two,"The Central, Singapore River, Singapore"
207,Chihuly Lounge,2.4,"Continental, European",SGD100 for two,"Marina Centre, Downtown Core, Singapore"
208,Cafe Mosaic,-,"Singaporean, Chinese, Seafood, Fusion",SGD100 for two,"Seah Street, Downtown Core, Singapore"
209,21 On Rajah,3.1,"Continental, European, Mediterranean, Seafood, Singaporean, Middle Eastern, Greek",SGD85 for two,"Balestier, Novena, Singapore"
210,La Taperia,-,Spanish,SGD150 for two,"Orchard Road, Orchard, Singapore"
211,Greenwood Fish Market & Bistro,3.7,"BBQ, Italian, Japanese, Seafood, Spanish",SGD100 for two,"Hillcrest, Bukit Timah, Singapore"
212,Seasons Bistro,-,"American, Sandwich",SGD55 for two,"Somerset, Orchard, Singapore"
213,Nana Thai Food,3.1,"Thai, Indonesian, Asian",SGD40 for two,"Beach Road, Kallang, Singapore"
214,Bedrock Bar & Grill,3.9,"Australian, Steak",SGD200 for two,"Grange Road, Orchard, Singapore"
215,Kuvo,2.4,"Sushi, Japanese",SGD120 for two,"Somerset, Orchard, Singapore"
216,Azabu Sabo Hokkaido Ice Cream,3.9,"Cafe, Japanese, Desserts",SGD40 for two,"The Central, Singapore River, Singapore"
217,My Favourite Cafe,3.1,"Singaporean, Chinese, Hakka Chinese",SGD20 for two,"Lucky Plaza, Orchard, Singapore"
218,Jade,3.9,"Cantonese, Dim Sum",SGD175 for two,"Clifford Pier, Downtown Core, Singapore"
219,Spuds & Aprons,-,"Western, Singaporean, Continental",SGD90 for two,"Maritime Square, Bukit Merah, Singapore"
220,District 10 Bar & Grill,3,"American, European, Steak",SGD185 for two,"Suntec City, Downtown Core, Singapore"
221,Owen Seafood Restaurant,-,"Seafood, Singaporean, Chinese, Asian",SGD95 for two,"Swiss Club, Bukit Timah, Singapore"
222,Mtr Singapore,4.3,"South Indian, Indian",SGD40 for two,"Serangoon Road, Kallang, Singapore"
223,Re!fill Restaurant,-,"Chinese, Western",SGD60 for two,"Outram Park, Outram, Singapore"
224,Triple Three,3.1,"Japanese, Sushi, Singaporean, Asian",SGD140 for two,"Somerset, Orchard, Singapore"
225,Joie By Dozo,3.9,"Continental, French, Italian, Japanese, Seafood, Healthy Food",SGD140 for two,"Somerset, Orchard, Singapore"
226,Jia Wei Chinese Restaurant,-,"Chinese, Seafood, Cantonese, Dim Sum",SGD120 for two,"Roxy Square, Marine Parade, Singapore"
227,Casallena,-,"Italian, Pizza, Spanish, Cafe",SGD100 for two,"Swiss Club, Bukit Timah, Singapore"
228,Chatterbox,3.9,"Chinese, Singaporean, Western, Asian",SGD100 for two,"Orchard Road, Orchard, Singapore"
229,White Rose Cafe,-,"Asian, Chinese, Malaysian",SGD50 for two,"Scotts Road, Orchard, Singapore"
230,Wasabi Tei Japanese Cuisine,-,"Sushi, Japanese",SGD55 for two,"Far East Plaza, Orchard, Singapore"
231,Izakaya Nijumaru Restaurant,-,"Sushi, Japanese",SGD55 for two,"Somerset, Orchard, Singapore"
232,Taratata Bistrot,3.5,French,SGD130 for two,"Duxton Hill, Outram, Singapore"
233,Hard Rock Cafe Singapore,3.9,"American, Bar Food",SGD70 for two,"Tanglin, Orchard, Singapore"
234,Cocotte,3.4,American,SGD140 for two,"Little India, Rochor, Singapore"
235,Nassim Hill Bakery Bistro Bar,3.5,"Continental, Italian, Bakery",SGD60 for two,"Tanglin Road, Tanglin, Singapore"
236,Honey Creme,-,"Desserts, Ice Cream",SGD20 for two,"313@somerset, Orchard, Singapore"
237,Sushi Jin,3.1,"Japanese, Sushi",SGD190 for two,"Farrer Park, Rochor, Singapore"
238,Kailash Parbat,4,"North Indian, Indian",SGD55 for two,"Belilios Road, Rochor, Singapore"
239,Mitzo,3.1,"Chinese, Cantonese",SGD130 for two,"Orchard Road, Orchard, Singapore"
240,Pasta Brava,3.6,Italian,SGD100 for two,"Duxton Road, Outram, Singapore"
241,Ash & Elm,3.9,"Steak, Teppanyaki, European",SGD160 for two,"Middle Road, Downtown Core, Singapore"
242,Kinsa Sushi,-,"Japanese, Sushi",SGD85 for two,"Hillv2, Bukit Batok, Singapore"
243,Lola's Cafe,3.3,"Italian, Pizza, Cafe",SGD70 for two,"Simon Road, Hougang, Singapore"
244,Jumbo Seafood,3.9,"Seafood, Singaporean, Chinese",SGD90 for two,"Boat Quay, Singapore River, Singapore"
