,restaurant,rating,genre,price,address
18,11 Kadıköy Cocktails & Kitchen,4.6,World Cuisine,₺220 for two,"Kadıköy Merkez, İstanbul"
19,Tarihi Pano Şaraphanesi,4.4,World Cuisine,₺260 for two,"Taksim, İstanbul"
20,Asuman,4.5,Desserts,₺70 for two,"Moda, İstanbul"
21,Arada Beyrut Cafe,4.3,"Lebanese, Turkish, Cafe",₺150 for two,"Galata, İstanbul"
22,Yıldız Hisar,4.1,"Restaurant Cafe, Izgara",₺200 for two,"Rumeli Hisarı Merkez, İstanbul"
23,J'adore Chocolatier,4.5,Desserts,₺70 for two,"Asmalımescit, İstanbul"
24,Patisserie de Pera - Pera Palace Hotel,4.5,"Patisserie, Cafe",₺80 for two,"Pera Palace Hotel, Asmalımescit, Beyoğlu, İstanbul"
25,The Populist,4.5,Bar Food,₺300 for two,"Yapı Kredi bomontiada, Şişli, İstanbul"
26,Tarihi Viktor Levi Şarap Evi,4.4,World Cuisine,₺280 for two,"Kadıköy Merkez, İstanbul"
27,Banyan Restaurant,4.4,"Asian, Sushi",₺450 for two,"Ortaköy Merkez, İstanbul"
28,Galata Konak Cafe,3.4,Restaurant Cafe,₺80 for two,"Galata, İstanbul"
29,Zula,4.7,Burger,₺120 for two,"Harbiye, İstanbul"
30,Limonlu Bahçe,4.1,Restaurant Cafe,₺220 for two,"Taksim, İstanbul"
31,The Townhouse,4.6,Bar Food,₺300 for two,"Suadiye, İstanbul"
32,Payidar Cafe & Restaurant,4.5,"Cafe, Turkish, Coffee, Tea, Desserts",₺100 for two,"Galata, İstanbul"
33,Baltazar,4.1,"Burger, Izgara",₺120 for two,"Karaköy, İstanbul"
34,Aşşk Kahve,3.8,Restaurant Cafe,₺260 for two,"Kuruçeşme, İstanbul"
35,Mangerie,4.1,"World Cuisine, Cafe",₺310 for two,"Bebek, İstanbul"
36,Backyard,4.0,"World Cuisine, Mediterranean, Restaurant Cafe",₺280 for two,"Bebek, İstanbul"
37,Baylan,4.3,"World Cuisine, Cafe, Patisserie",₺440 for two,"Bebek, İstanbul"
38,Minoa,4.2,Restaurant Cafe,₺170 for two,"Akaretler, İstanbul"
39,Juliet Rooms & Kitchen,4.1,Restaurant Cafe,₺125 for two,"Moda, İstanbul"
40,The Market Bosphorus,4.3,Steak,₺320 for two,"Kuruçeşme, İstanbul"
41,Divan Brasserie Beyoğlu,4.7,World Cuisine,₺280 for two,"Divan Group, İstanbul"
42,Velvet Cafe,4.9,"Cafe, Desserts, Beverages",₺80 for two,"Galata, İstanbul"
43,Paul's Homemade Pasta & Lasagna,4.3,"Italian, Mediterranean",₺120 for two,"Moda, İstanbul"
44,Bayramoğlu Döner,4.8,Döner,₺130 for two,"Rüzgarlıbahçe, İstanbul"
45,Karaköy Lokantası,4.6,Old Turkish Bars,₺380 for two,"Karaköy, İstanbul"
46,Happy Moon's,4.3,World Cuisine,₺220 for two,"Fenerbahçe, İstanbul"
47,Duble Meze Bar,-,Old Turkish Bars,₺380 for two,"Asmalımescit, İstanbul"
48,Filizler Köftecisi,3.6,"Izgara, Steak",₺110 for two,"Salacak, İstanbul"
49,Çiya Sofrası,4.2,"Kebab, Turkish Pizza",₺160 for two,"Kadıköy Merkez, İstanbul"
50,5. Kat Restaurant,4.2,World Cuisine,₺320 for two,"Cihangir, İstanbul"
51,Valonia,4.2,"Restaurant Cafe, Desserts",₺100 for two,"Beşiktaş Merkez, İstanbul"
52,Hamdi Restaurant,4.2,"Kebab, Izgara, Turkish, Eastern Anatolia",₺360 for two,"Eminönü Merkez, İstanbul"
53,Joker No:19,4.3,"Bar Food, Restaurant Cafe",₺200 for two,"Beşiktaş Merkez, İstanbul"
54,FiLBooks,4.2,"Cafe, Coffee, Tea",₺90 for two,"Karaköy, İstanbul"
55,Mihrabat,3.9,"Kebab, Turkish, Seafood, Coffee, Tea",₺220 for two,"Kanlıca, İstanbul"
56,Biber Burger,4.4,Burger,₺80 for two,"Beşiktaş Merkez, İstanbul"
57,Kız Kulesi Restaurant,4.1,World Cuisine,₺500 for two,"Salacak, İstanbul"
58,Spago - St. Regis İstanbul,4.3,World Cuisine,₺500 for two,"St. Regis İstanbul, Nişantaşı, Şişli, İstanbul"
59,TRC American Diner,4.2,"American, Burger",₺120 for two,"Beşiktaş Merkez, İstanbul"
60,Naan Bakeshop,4.2,"Bakery, Desserts",₺110 for two,"Moda, İstanbul"
61,MOC İstanbul,4.4,"Coffee, Tea, Desserts, Cafe",₺80 for two,"Nişantaşı, İstanbul"
62,Emirgan Sütiş,4.2,"Restaurant Cafe, Turkish, Desserts",₺120 for two,"Emirgân, İstanbul"
63,Fornello Pizza,4.5,"Pizza, Italian",₺95 for two,"Kadıköy Merkez, İstanbul"
64,Just BBQ,4.7,"Steak, Burger",₺200 for two,"Beşiktaş Merkez, İstanbul"
65,Summit Bar and Terrace - Conrad İstanbul Bosphorus,4.4,World Cuisine,₺350 for two,"Conrad İstanbul Bosphorus, Beşiktaş, İstanbul"
66,Fıccın,4.5,"Old Turkish Bars, Home-made",₺310 for two,"Asmalımescit, İstanbul"
67,Eataly,4.1,"Italian, Pizza, Fresh Fish",₺350 for two,"Zorlu Center AVM, Levazım, Beşiktaş, İstanbul"
68,B Blok Bakery,4.5,"Patisserie, Coffee, Tea",₺70 for two,"Akaretler, İstanbul"
69,Piraye Taş Plak Meyhanesi,4.2,Old Turkish Bars,₺380 for two,"Kadıköy Merkez, İstanbul"
70,Kruvasan,4.4,Restaurant Cafe,₺100 for two,"Nişantaşı, İstanbul"
71,Gasto,4.6,"Turkish, World Cuisine, Desserts",₺150 for two,"Nişantaşı, İstanbul"
72,Sensus Wine - Anemon Hotels,4.6,World Cuisine,₺300 for two,"Anemon Hotels, Galata, Beyoğlu, İstanbul"
73,Metet Közde Döner,4.6,Döner,₺120 for two,"Kuzguncuk, İstanbul"
74,Akali,4.1,Burger,₺100 for two,"Akaretler, İstanbul"
75,Leman Kültür,3.5,"Restaurant Cafe, Coffee, Tea",₺180 for two,"Kadıköy Merkez, İstanbul"
76,Willy Wonka Bonne Nuit Chocolate,4.0,"Desserts, Cafe",₺70 for two,"Galata, İstanbul"
77,Varuna Gezgin Teras,4.3,Bar Food,₺200 for two,"Taksim, İstanbul"
78,Armada Teras Restaurant - Armada Otel,4.4,"Turkish, Seafood",₺350 for two,"Armada Otel, Sultanahmet, Eminönü, İstanbul"
79,Aida - Vino E Cucina,4.5,"Italian, Mediterranean, World Cuisine",₺260 for two,"Moda, İstanbul"
80,Çukurcuma 49,4.5,"Pizza, Italian",₺210 for two,"Cihangir, İstanbul"
81,Suflör,4.6,"Cafe, Desserts, Tea, Coffee",₺50 for two,"Akaretler, İstanbul"
82,Şazeli Florya,4.3,Steak,₺225 for two,"Şenlikköy, İstanbul"
83,Türk Alman Kitabevi Cafe,4.8,Cafe,₺80 for two,"Şişhane, İstanbul"
84,Walter's Coffee Roastery,4.0,"Cafe, Tea, Coffee",₺60 for two,"Moda, İstanbul"
85,Los Altos,4.4,Mexican,₺280 for two,"Taksim, İstanbul"
86,Cadıköy,4.3,"Cafe, Turkish",₺50 for two,"Kadıköy Merkez, İstanbul"
87,Yumma,4.3,"Restaurant Cafe, Turkish",₺90 for two,"Moda, İstanbul"
88,Han Karaköy,4.0,Cafe,₺120 for two,"Karaköy, İstanbul"
89,Coffeetopia,4.9,"Cafe, Coffee, Tea",₺65 for two,"Eminönü Merkez, İstanbul"
90,Draft,4.4,Bar Food,₺240 for two,"Caddebostan, İstanbul"
91,Basta! Street Food Bar,4.3,"Fast Food, Turkish",₺100 for two,"Kadıköy Merkez, İstanbul"
92,Tarihi Çınaraltı Aile Çay Bahçesi,4.3,"Fast Food, Izgara, Seafood, Tea, Coffee",₺60 for two,"Çengelköy Merkez, İstanbul"
93,Kaşıbeyaz Bosphorus,4.2,"Kebab, Izgara",₺320 for two,"Yeniköy Merkez, İstanbul"
94,My Chef,4.3,"World Cuisine, Cafe",₺150 for two,"Kadıköy Merkez, İstanbul"
95,Ali Ocakbaşı,4.3,"Grill, Kebab, Turkish Pizza",₺380 for two,"Karaköy, İstanbul"
96,Midpoint,4.0,World Cuisine,₺260 for two,"Taksim, İstanbul"
97,Alexandra Cocktail Bar,4.1,Finger Food,₺270 for two,"Arnavutköy Merkez, İstanbul"
98,Ranchero,4.3,Mexican,₺300 for two,"Milli Reasürans Çarşısı, Nişantaşı, Şişli, İstanbul"
99,Virginia Angus,4.3,"Steak, Burger",₺190 for two,"Eminönü Merkez, İstanbul"
100,Ceviz Ağacı,4.2,"World Cuisine, Restaurant Cafe, Patisserie, Coffee, Tea",₺100 for two,"Koşuyolu, İstanbul"
101,Nezih,4.2,"Kebab, South East, Turkish",₺240 for two,"Rumeli Hisarı Merkez, İstanbul"
102,Katibim,4.0,"Restaurant Cafe, World Cuisine, Coffee, Tea",₺160 for two,"Üsküdar Merkez, İstanbul"
103,Mums Cafe,4.2,Cafe,₺140 for two,"Karaköy, İstanbul"
104,Crazy Flakes,3.9,Cafe,₺60 for two,"Moda, İstanbul"
105,Kahve6,4.4,Restaurant Cafe,₺90 for two,"Cihangir, İstanbul"
106,Şehzade Çağ Kebap,4.4,"Kebab, Turkish",₺80 for two,"Sirkeci, İstanbul"
107,Bridge Restaurant & Cafe,4.4,"Restaurant Cafe, Steak, Seafood, Turkish",₺300 for two,"Nakkaştepe, İstanbul"
108,İnari Omakase Japanese Restaurant,4.8,"Japanese, Sushi, Asian",₺360 for two,"Kuruçeşme, İstanbul"
109,Karaköy Güllüoğlu,4.6,"Desserts, Börek",₺90 for two,"Karaköy, İstanbul"
110,Rumeli Kale Cafe & Restaurant,4.3,"Izgara, Turkish Pizza, Turkish",₺90 for two,"Rumeli Hisarı Merkez, İstanbul"
111,Van Kahvaltı Evi,4.4,Turkish,₺80 for two,"Cihangir, İstanbul"
112,Kev Moda,4.1,Restaurant Cafe,₺120 for two,"Moda, İstanbul"
113,Ethem Efendi Kahvaltı,4.2,Turkish,₺150 for two,"Erenköy, İstanbul"
114,Karadeniz Döner,4.5,Döner,₺80 for two,"Beşiktaş Merkez, İstanbul"
115,Pizano Pizzeria,4.8,Pizza,₺100 for two,"Ortaköy Merkez, İstanbul"
116,Lulu Hookah Lounge - Zimmer Hotel Bosphorus,4.0,World Cuisine,₺260 for two,"Zimmer Hotel Bosphorus, Kabataş, Beyoğlu, İstanbul"
117,Paşalimanı Cafe & Restaurant,4.1,Restaurant Cafe,₺90 for two,"Kuzguncuk, İstanbul"
118,Deli No.14,4.4,Restaurant Cafe,₺90 for two,"Kadıköy Merkez, İstanbul"
119,Malta Köşkü,4.2,Restaurant Cafe,₺120 for two,"Yıldız Korusu, Yıldız, Beşiktaş, İstanbul"
120,Gazebo Cafe & Restaurant,4.1,"World Cuisine, Cafe",₺350 for two,"Yeniköy Merkez, İstanbul"
121,Petra Roasting Co.,4.6,"Cafe, Coffee",₺130 for two,"Gayrettepe Merkez, İstanbul"
122,Pepo's Galata,4.3,World Cuisine,₺300 for two,"Galata, İstanbul"
123,Lokanta Feriye,4.4,"Turkish, Healthy Food",₺300 for two,"Ortaköy Merkez, İstanbul"
124,Mosquito,4.4,Restaurant Cafe,₺120 for two,"Kadıköy Merkez, İstanbul"
125,Karabatak Karaköy,3.7,Cafe,₺80 for two,"Karaköy, İstanbul"
126,Emily's Garden,3.8,"Restaurant Cafe, Coffee, Tea",₺200 for two,"Cihangir, İstanbul"
127,Pim Karaköy,3.9,"Restaurant Cafe, Middle Eastern, Coffee, Tea",₺220 for two,"Karaköy, İstanbul"
128,Blum Coffee House,4.5,"Cafe, Coffee, Tea",₺85 for two,"Akaretler, İstanbul"
129,Mini Eatery,4.3,Burger,₺70 for two,"Moda, İstanbul"
130,Zübeyir Ocakbaşı & Restaurant,4.4,"Grill, Kebab",₺310 for two,"Taksim, İstanbul"
131,Verdura,4.3,"Italian, Pizza",₺220 for two,"Suadiye, İstanbul"
132,Nadide Breakfast,4.8,"Turkish, Cafe, Coffee, Tea",₺70 for two,"Moda, İstanbul"
133,Mr. Dumpling,4.3,Turkish,₺110 for two,"Kadıköy Merkez, İstanbul"
134,Pizzeria Pera,4.9,"Pizza, Italian",₺240 for two,"Asmalımescit, İstanbul"
135,Tatar Salim Döner Lokantası,4.7,Döner,₺90 for two,"Küçükbakkalköy, İstanbul"
136,Beyti,4.9,"Steak, Izgara, Döner",₺400 for two,"Şenlikköy, İstanbul"
137,Fahriye Cafe,4.2,Restaurant Cafe,₺75 for two,"Moda, İstanbul"
138,Kubbe-i Aşk,3.4,"Restaurant Cafe, Izgara",₺100 for two,"Süleymaniye, İstanbul"
139,16 Roof - Swissotel The Bosphorus,4.4,"Finger Food, Asian",₺500 for two,"Swissotel The Bosphorus, Maçka, Beşiktaş, İstanbul"
140,Hazzo Pulo,4.6,"Turkish, Izgara, Seafood",₺300 for two,"Asmalımescit, İstanbul"
141,"Atölye Kafası ""Hangar""",4.4,"Cafe, Fast Food",₺90 for two,"Balat, İstanbul"
142,Pattis,4.2,"Cafe, Turkish",₺80 for two,"Kadıköy Merkez, İstanbul"
143,Miyabi Sushi & Japanese Grill Bar,4.7,"Sushi, Japanese, Asian",₺350 for two,"Akatlar, İstanbul"
144,The Crepe Escape,4.2,"Desserts, Tea, Coffee",₺90 for two,"Caddebostan, İstanbul"
145,Brew Coffeeworks,4.5,"Cafe, Coffee, Tea",₺70 for two,"Eminönü Merkez, İstanbul"
146,Akın Balık,3.3,"Old Turkish Bars, Seafood, Fresh Fish",₺375 for two,"Karaköy, İstanbul"
147,Dürümcü Emmi,4.1,"Kebab, Turkish Pizza",₺100 for two,"Kadıköy Merkez, İstanbul"
148,House of B,4.2,"Burger, American",₺160 for two,"Akaretler, İstanbul"
149,Voi Cadde,4.2,Cafe,₺120 for two,"Şaşkınbakkal, İstanbul"
150,Brasserie Noir,4.8,"French, World Cuisine, Sushi",₺380 for two,"Suadiye, İstanbul"
151,Galata Kulesi Restaurant,4.3,"Ottoman, Turkish",₺125 for two,"Galata, İstanbul"
152,İnci Pastanesi,4.3,Patisserie,₺45 for two,"Taksim, İstanbul"
153,Kırıntı,4.1,World Cuisine,₺220 for two,"Bebek, İstanbul"
154,Erbap Patisserie & Cafe,3.8,"Restaurant Cafe, Patisserie, Izgara",₺90 for two,"Çengelköy Merkez, İstanbul"
155,bâtard,4.4,French,₺200 for two,"Bomonti, İstanbul"
156,Pişi Breakfast & Burger,4.1,"Turkish, Burger",₺80 for two,"Beşiktaş Merkez, İstanbul"
157,Kadim Kahve,4.7,Restaurant Cafe,₺160 for two,"Üsküdar Merkez, İstanbul"
158,Helvetia,4.6,"Home-made, Healthy Food",₺75 for two,"Asmalımescit, İstanbul"
159,Hobo Kitchen Bar,4.2,"Bar Food, Cafe",₺200 for two,"Ortaköy Merkez, İstanbul"
160,Mandabatmaz Türk Kahvesi,4.9,"Tea, Coffee",₺40 for two,"Asmalımescit, İstanbul"
161,Federal Coffee Company,4.5,"Cafe, Tea, Coffee",₺90 for two,"Galata, İstanbul"
162,Grey Food & Drink,4.2,"Restaurant Cafe, Mediterranean",₺250 for two,"Nişantaşı, İstanbul"
163,Kase No.16,4.4,Healthy Food,₺240 for two,"Nişantaşı, İstanbul"
164,Nadide Meyhane,4.5,"Old Turkish Bars, Seafood, Aegean, Greek",₺320 for two,"Esentepe, İstanbul"
165,Cafe Naftalin K,4.4,Cafe,₺70 for two,"Balat, İstanbul"
166,Forno Balat,4.6,"Turkish Pizza, Pizza, Turkish",₺130 for two,"Balat, İstanbul"
167,Ouzo Roof Restaurant - Wyndham Grand İstanbul Kalamış Marina Hotel,4.3,"Aegean, Fresh Fish, Mediterranean",₺400 for two,"Wyndham Grand İstanbul Kalamış Marina Hotel, Kalamış, Kadıköy, İstanbul"
168,Süt Yumurta Reçel - Sokak,3.4,Turkish,₺70 for two,"Kadıköy Merkez, İstanbul"
169,Çikolata Kahve,4.4,Desserts,₺65 for two,"Çengelköy Merkez, İstanbul"
170,Müzelik,4.3,"Restaurant Cafe, Coffee, Tea",₺85 for two,"Çengelköy Merkez, İstanbul"
171,City Burger,4.2,Burger,₺70 for two,"Beşiktaş Merkez, İstanbul"
172,Ekspres İnegöl Köftecisi,4.6,Izgara,₺75 for two,"Kadıköy Merkez, İstanbul"
173,Thales Cafe,4.0,"Bar Food, Cafe",₺240 for two,"Kadıköy Merkez, İstanbul"
174,Hümaliva Çikolata & Kahve,4.5,"Desserts, Cafe",₺80 for two,"Nişantaşı, İstanbul"
175,Moda Çikolatacısı,4.3,"Desserts, Cafe",₺75 for two,"Moda, İstanbul"
176,Güney Restaurant,4.5,"Restaurant Cafe, Izgara, Turkish",₺230 for two,"Galata, İstanbul"
177,Aqua Restaurant - Four Seasons Hotel Bosphorus,4.5,"Seafood, Sushi",₺600 for two,"Four Seasons Hotel, Beşiktaş, İstanbul"
178,Tarihi Vefa Bozacısı,4.9,Beverages,₺20 for two,"Laleli, İstanbul"
179,Bykush Sokak,4.5,"Burger, Fast Food",₺100 for two,"Moda, İstanbul"
180,Akın Restoran,4.4,"Izgara, Turkish",₺150 for two,"Karaköy, İstanbul"
181,Dem Moda,4.5,Cafe,₺80 for two,"Moda, İstanbul"
182,La Vie Praline,4.5,"Desserts, Tea, Coffee",₺80 for two,"Beşiktaş Merkez, İstanbul"
183,180° Coffee Bakery,4.4,"Cafe, British, Bakery, Tea, Coffee",₺90 for two,"Moda, İstanbul"
184,Grandma,4.1,"Bakery, Desserts, Tea, Coffee",₺150 for two,"Nişantaşı, İstanbul"
185,Adana Ocakbaşı,4.5,"Grill, Kebab",₺280 for two,"Kurtuluş, İstanbul"
186,Namlı Gurme,4.0,"Turkish, Izgara",₺120 for two,"Karaköy, İstanbul"
187,Emek Cafe,4.2,"Fast Food, Izgara, Turkish, Tea, Coffee",₺55 for two,"Yeniköy Merkez, İstanbul"
188,Moretenders' Cocktail Crib,4.5,Finger Food,₺250 for two,"Asmalımescit, İstanbul"
189,Ağa Kapısı,4.0,"Restaurant Cafe, Coffee, Tea",₺110 for two,"Süleymaniye, İstanbul"
190,ANY,4.1,World Cuisine,₺340 for two,"Arnavutköy Merkez, İstanbul"
191,Doğacıyız Gourmet,4.5,"Turkish, Restaurant Cafe",₺120 for two,"Cihangir, İstanbul"
192,Del Mare Ristorante,4.3,"Fresh Fish, Seafood, Izgara",₺550 for two,"Çengelköy Merkez, İstanbul"
193,The Grungy,4.6,Burger,₺110 for two,"Nişantaşı, İstanbul"
194,Pepe Rosso,4.3,Bar Food,₺300 for two,"Akaretler, İstanbul"
195,Grön Coffee Co.,4.5,"Cafe, Desserts, Tea, Coffee",₺100 for two,"Caddebostan, İstanbul"
196,Hıdiv Kasrı Restoran,4.4,"Turkish, Ottoman, Mediterranean",₺120 for two,"Hidiv Kasrı, Çubuklu, Beykoz, İstanbul"
197,Kafe Ara,4.4,Restaurant Cafe,₺110 for two,"Taksim, İstanbul"
198,Ozzie's 1968 Kokoreç,4.4,"Kokoreç, Giblets",₺150 for two,"Asmalımescit, İstanbul"
199,Barba Vasilis,4.5,"Old Turkish Bars, Greek",₺390 for two,"Balat, İstanbul"
200,Set Balık Lokantası,4.6,"Seafood, Fresh Fish",₺320 for two,"Kireçburnu, İstanbul"
201,Hüsnü Ala Cafe,2.3,"Restaurant Cafe, Turkish Pizza, Kebab",₺150 for two,"Süleymaniye, İstanbul"
202,Emporio Pizza & Pasta,4.2,"Pizza, Italian",₺120 for two,"Akaretler, İstanbul"
203,Asitane Restaurant,4.7,Ottoman,₺260 for two,"Ayvansaray, İstanbul"
204,Suvla,4.5,Italian,₺320 for two,"Kanyon AVM, Levent, İstanbul"
205,Nevmekan,4.2,Restaurant Cafe,₺100 for two,"Bağlarbaşı, Üsküdar, İstanbul"
206,Siirt Şeref Büryan,4.2,"Kebab, Eastern Anatolia",₺130 for two,"Unkapanı, İstanbul"
207,Naga Putrika,4.2,Turkish,₺80 for two,"Moda, İstanbul"
208,Cafe & Shop,4.3,"Restaurant Cafe, Coffee, Tea",₺100 for two,"Kadıköy Merkez, İstanbul"
209,Da Mario Ristorante & Pizzeria,4.3,"Italian, Pizza",₺400 for two,"Etiler Merkez, İstanbul"
210,CZNBurak Medeniyetler Sofrası,4.0,"South East, Kebab, Middle Eastern, Turkish Pizza",₺350 for two,"Levent Merkez, İstanbul"
211,Grillin' Guys,4.5,Burger,₺90 for two,"Şaşkınbakkal, İstanbul"
212,Hane Kadıköy,4.4,"Old Turkish Bars, Turkish, Kokoreç",₺340 for two,"Kadıköy Merkez, İstanbul"
213,Cafe Romantika,3.3,"Restaurant Cafe, Izgara, Turkish",₺130 for two,"Fenerbahçe, İstanbul"
214,Tasarım Bookshop & Cafe,4.3,"Cafe, Coffee, Tea",₺70 for two,"Kadıköy Merkez, İstanbul"
215,Çikolata Mahzeni,4.4,"Cafe, Desserts",₺60 for two,"Beşiktaş Merkez, İstanbul"
216,Burger Joint,4.4,Burger,₺85 for two,"Beşiktaş Merkez, İstanbul"
217,Noir Pit Coffee Co.,4.6,"Cafe, Coffee, Tea",₺70 for two,"Asmalımescit, İstanbul"
218,Beppe Pizzeria,4.5,"Pizza, Italian",₺230 for two,"Moda, İstanbul"
219,Tuzla Balıkçısı,4.6,"Fresh Fish, Seafood",₺120 for two,"Tuzla Merkez, İstanbul"
220,Sur Balık Restaurant,4.2,"Fresh Fish, Seafood, Old Turkish Bars",₺400 for two,"Arnavutköy Merkez, İstanbul"
221,İnci Bosphorus,3.9,"Steak, Fresh Fish, Restaurant Cafe, Tea, Coffee",₺300 for two,"Çengelköy Merkez, İstanbul"
222,Pandeli Restaurant,4.2,Turkish,₺260 for two,"Mısır Çarşısı, Eminönü Merkez, Fatih, İstanbul"
223,Tahin,4.3,Lebanese,₺120 for two,"Karaköy, İstanbul"
224,2 Bites,4.8,Burger,₺120 for two,"Moda, İstanbul"
225,Chef Mezze,3.7,"Aegean, Seafood, Old Turkish Bars",₺500 for two,"Opera Hotel, Gümüşsuyu, Beyoğlu, İstanbul"
226,Hane Çikolata & Kahve,4.5,"Desserts, Cafe",₺80 for two,"Moda, İstanbul"
227,Seraf Restaurant,4.4,"Eastern Anatolia, Kebab",₺170 for two,"Mahmutbey, İstanbul"
228,Şairler Kahvesi,4.4,Restaurant Cafe,₺75 for two,"Akaretler, İstanbul"
229,İBB Fethi Paşa Sosyal Tesisleri,4.2,"Turkish, Seafood, Izgara, Tea, Coffee",₺95 for two,"Kuzguncuk, İstanbul"
230,Vogue,4.5,"World Cuisine, Sushi",₺600 for two,"Akaretler, İstanbul"
231,Rose Marine,4.2,World Cuisine,₺300 for two,"Cihangir, İstanbul"
232,Page Cafe & Gallery,4.2,Cafe,₺60 for two,"Moda, İstanbul"
233,Cecconi's,4.3,Italian,₺400 for two,"SOHO HOUSE İSTANBUL, Asmalımescit, Beyoğlu, İstanbul"
234,Çömlek Kuru Fasulye,4.2,"Turkish, Black Sea, Izgara",₺130 for two,"Kısıklı, İstanbul"
235,Starbucks,4.8,"Cafe, Coffee, Tea",₺55 for two,"Bebek, İstanbul"
236,La Boom,3.5,World Cuisine,₺550 for two,"Emirgân, İstanbul"
237,Tarihi Kalkanoğlu Pilavcısı,4.6,Pilav,₺40 for two,"Taksim, İstanbul"
238,Saade Kahvaltı Cafe,4.3,"Cafe, Turkish",₺160 for two,"Sultanahmet, İstanbul"
239,Makana,4.7,Central Asian,₺70 for two,"Beşiktaş Merkez, İstanbul"
240,Dürümce,3.8,Kebab,₺100 for two,"Hanedan, Beşiktaş, İstanbul"
241,Kai Çengelköy,4.1,World Cuisine,₺220 for two,"Çengelköy Merkez, İstanbul"
242,Bitlisli,4.7,"Kebab, Turkish Pizza",₺80 for two,"Sirkeci, İstanbul"
243,Lucca,4.0,World Cuisine,₺370 for two,"Bebek, İstanbul"
244,La Patisserie Lune,4.3,"Desserts, Cafe",₺130 for two,"Nişantaşı, İstanbul"
245,Çin Büfe,4.3,"Chinese, Sushi, Japanese, Asian",₺160 for two,"Taksim, İstanbul"
246,Montag Coffee Roasters,4.6,"Cafe, Coffee, Tea",₺70 for two,"Kadıköy Merkez, İstanbul"
247,Mim Kahve,4.2,Cafe,₺80 for two,"Eminönü Merkez, İstanbul"
248,Noa Burger & Food,4.5,Burger,₺100 for two,"Dikilitaş, İstanbul"
249,Hale Jale Bütün Mahalle,4.4,Cafe,₺60 for two,"Kadıköy Merkez, İstanbul"
250,A'jia Restaurant - A'jia Hotel İstanbul,4.3,Mediterranean,₺450 for two,"A'jia Hotel, Kanlıca, İstanbul"
251,Cafe Cadde,4.2,World Cuisine,₺300 for two,"Caddebostan, İstanbul"
252,Bam's,4.6,"Restaurant Cafe, Burger, Turkish",₺100 for two,"Acıbadem Merkez, İstanbul"
253,Doz Roastery,4.7,Cafe,₺50 for two,"Moda, İstanbul"
254,Baldır,4.2,Turkish,₺110 for two,"Eminönü Merkez, İstanbul"
255,Sunset Grill & Bar,4.4,"World Cuisine, Mediterranean, Turkish, Japanese, Sushi, Izgara",₺600 for two,"Ulus, İstanbul"
256,Şekerci Cafer Erol,4.6,"Desserts, Cafe",₺50 for two,"Kadıköy Merkez, İstanbul"
257,Uskumru,4.3,"Fresh Fish, Seafood",₺500 for two,"Anadolu Hisarı Merkez, İstanbul"
258,Asmalı Cavit Restaurant,4.7,Old Turkish Bars,₺360 for two,"Asmalımescit, İstanbul"
259,Miss Pizza,4.5,"Pizza, Italian",₺250 for two,"Şişhane, İstanbul"
260,San Marco's Caffe,4.5,"Italian, Cafe",₺100 for two,"Bakırköy Merkez, İstanbul"
