,restaurant,rating,genre,price,address
37,Agua Verde Cafe,4.2,Mexican,$30 for two,"University District, Seattle"
38,Purple Cafe and Wine Bar,4.4,"Pacific Northwest, American",$80 for two,"Downtown, Seattle"
39,Steelhead Diner,4.4,"Fish and Chips, Seafood, Pacific Northwest",$45 for two,"Pike Place Market, Seattle"
40,Metropolitan Grill,4.4,"Steak, American",$95 for two,"Downtown, Seattle"
41,Lark,4.3,Pacific Northwest,$60 for two,"Capitol Hill, Seattle"
42,The Harvest Vine,4.7,"Tapas, Spanish",$75 for two,"Madison Park, Seattle"
43,Lowell's,4.1,Seafood,$40 for two,"Pike Place Market, Seattle"
44,Palace Kitchen,4.5,"American, Pacific Northwest",$90 for two,"Downtown, Seattle"
45,Pike Place Chowder,4.9,"Seafood, Pacific Northwest",$25 for two,"Pike Place Market, Seattle"
46,Tat's Delicatessen,4.4,"Deli, Sandwich",$25 for two,"Downtown, Seattle"
47,Revel,4.5,"Korean, Fusion",$50 for two,"Fremont, Seattle"
48,Umi Sake House,4.5,"Sushi, Japanese",$75 for two,"Belltown, Seattle"
49,Monsoon Seattle,4.4,Vietnamese,$75 for two,"Capitol Hill, Seattle"
50,Elliott's Oyster House,4.5,Seafood,$110 for two,"Downtown, Seattle"
51,Molly Moon's,4.4,Ice Cream,$15 for two,"Wallingford, Seattle"
52,Taste of India,4.4,"Vegetarian, Mediterranean, Indian",$50 for two,"University District, Seattle"
53,The Dish Cafe Ballard,4.2,American,$25 for two,"Fremont, Seattle"
54,Japonessa Sushi Cocina,4.6,"Sushi, Japanese, Latin American",$50 for two,"Downtown, Seattle"
55,Serafina,4.3,Italian,$70 for two,"Eastlake/Lake Union, Seattle"
56,Tamarind Tree,4.4,Vietnamese,$35 for two,"International District, Seattle"
57,Volunteer Park Cafe,4.4,"Cafe, American",$40 for two,"Capitol Hill, Seattle"
58,Sitka & Spruce Bar,4.3,Pacific Northwest,$65 for two,"Melrose Market, Seattle"
59,Spinasse,4.7,Italian,$75 for two,"Capitol Hill, Seattle"
60,Tilth,4.3,"Pacific Northwest, New American",$85 for two,"Wallingford, Seattle"
61,Ristorante Machiavelli,4.3,Italian,$60 for two,"Capitol Hill, Seattle"
62,Thai Tom,4.3,Thai,$30 for two,"University District, Seattle"
63,Lunchbox Laboratory,4.2,"Burger, Sandwich, Beverages",$40 for two,"South Lake Union, Seattle"
64,Kisaku,4.2,"Sushi, Japanese",$30 for two,"Wallingford, Seattle"
65,Etta's,4.4,"Fish and Chips, Pacific Northwest, Seafood",$55 for two,"Downtown, Seattle"
66,Crab Pot,4.2,Seafood,$60 for two,"Downtown, Seattle"
67,Buddha Ruksa,4.3,Thai,$75 for two,"West Seattle, Seattle"
68,Dahlia Bakery,4.5,"Bakery, Desserts, Cafe",$15 for two,"Belltown, Seattle"
69,Shiro's,4.5,"Sushi, Japanese",$50 for two,"Belltown, Seattle"
70,Serious Biscuit,4.4,"Pacific Northwest, Bakery",$25 for two,"South Lake Union, Seattle"
71,The Crumpet Shop,4.5,"Cafe, British",$20 for two,"Pike Place Market, Seattle"
72,Via Tribunali,4.2,"Pizza, Italian",$65 for two,"Capitol Hill, Seattle"
73,Joule,4.2,"Steak, Korean, Asian",$55 for two,"Wallingford, Seattle"
74,RockCreek,4.3,"Seafood, Tapas",$75 for two,"Fremont, Seattle"
75,The Whale Wins,4.2,"Seafood, Pacific Northwest",$60 for two,"Wallingford, Seattle"
76,La Rustica,4.2,"Italian, Seafood",$40 for two,"West Seattle, Seattle"
77,Geraldine's Counter,4.3,"American, Diner",$40 for two,"Columbia City, Seattle"
78,Zippy's Giant Burgers,4.2,Burger,$25 for two,"White Center, Seattle"
79,Boat Street Kitchen,4.3,"Pacific Northwest, French",$75 for two,"Belltown, Seattle"
80,Black Bottle,4.4,"Pacific Northwest, Seafood",$50 for two,"Belltown, Seattle"
81,Green Leaf,4.5,Vietnamese,$30 for two,"International District, Seattle"
82,Local 360,4.2,Pacific Northwest,$50 for two,"Belltown, Seattle"
83,Brave Horse Tavern,4.1,"American, Burger",$40 for two,"South Lake Union, Seattle"
84,El Gaucho,4.2,"Steak, Seafood, Pacific Northwest",$150 for two,"Inn At El Gaucho, Seattle"
85,Delancey,4.3,Pizza,$50 for two,"Ballard, Seattle"
86,How To Cook a Wolf,4.3,"Italian, Tapas",$60 for two,"Queen Anne: Upper, Seattle"
87,Barolo Ristorante,4.3,"Italian, Seafood",$95 for two,"Downtown, Seattle"
88,Nishino,4.4,"Sushi, Japanese",$75 for two,"Madison Park, Seattle"
89,Osteria La Spiga,4,Italian,$65 for two,"Capitol Hill, Seattle"
90,Ocho,4.3,"Tapas, Spanish",$40 for two,"Ballard, Seattle"
91,Westward,4.2,"Mediterranean, Pacific Northwest",$70 for two,"Wallingford, Seattle"
92,Luc,4.2,"French, American",$55 for two,"Madison Park, Seattle"
93,Bizzarro Italian Cafe,4.3,Italian,$65 for two,"Wallingford, Seattle"
94,Uneeda Burger,4.4,"Burger, Sandwich",$30 for two,"Fremont, Seattle"
95,Cantinetta,4.3,"Pacific Northwest, Italian",$60 for two,"Wallingford, Seattle"
96,Barrio,4.1,Mexican,$50 for two,"Capitol Hill, Seattle"
97,Tango Restaurant & Lounge,4.5,"Tapas, Spanish, Latin American",$65 for two,"Capitol Hill, Seattle"
98,Lecosho,4.2,Pacific Northwest,$80 for two,"Downtown, Seattle"
99,Maneki Restaurant,4.2,"Sushi, Japanese",$75 for two,"International District, Seattle"
100,Salty's on Alki,3.9,"Seafood, Pacific Northwest",$120 for two,"West Seattle, Seattle"
101,Mamnoon,4.3,"Vegetarian, Middle Eastern",$50 for two,"Capitol Hill, Seattle"
102,Staple & Fancy,4.2,"Pacific Northwest, American, Italian",$70 for two,"Ballard, Seattle"
103,Six Seven Restaurant,4,"Pacific Northwest, Seafood",$70 for two,"Edgewater Hotel, Seattle"
104,The Cheesecake Factory,4.2,"International, Desserts",$45 for two,"Downtown, Seattle"
105,Wasabi Japanese Restaurant & Sushi Bar,4.1,"Sushi, Japanese",$60 for two,"Belltown, Seattle"
106,Flying Fish,3.9,"Pacific Northwest, Seafood",$50 for two,"South Lake Union, Seattle"
107,Tilikum Place Cafe,4.2,European,$75 for two,"Belltown, Seattle"
108,Ezell's Famous Chicken,4.2,Southern,$20 for two,"Central District, Seattle"
109,Cedars Restaurant on Brooklyn,4.2,"Indian, Mediterranean, Middle Eastern",$45 for two,"University District, Seattle"
110,Brouwer's Cafe,4.4,"Pub Food, European",$50 for two,"Fremont, Seattle"
111,Terra Plata,4.1,Pacific Northwest,$65 for two,"Capitol Hill, Seattle"
112,SkyCity Restaurant,4.1,"Pacific Northwest, American",$130 for two,"Seattle Center, Seattle"
113,Tutta Bella Neapolitan Pizzeria - Columbia City,4.4,"Pizza, Italian",$40 for two,"Columbia City, Seattle"
114,The Hi-life,4.1,"New American, Bar Food",$40 for two,"Ballard, Seattle"
115,Gorgeous George's,4.2,"Mediterranean, Middle Eastern",$70 for two,"Greenwood/Phinney, Seattle"
116,Gordito's,4.2,Mexican,$40 for two,"Greenwood/Phinney, Seattle"
117,Ma'ono Fried Chicken & Whisky,4.1,"Hawaiian, American",$50 for two,"West Seattle, Seattle"
118,Smith Restaurant,4.2,"Bar Food, American",$60 for two,"Capitol Hill, Seattle"
119,Radiator Whiskey,4.2,American,$45 for two,"Pike Place Market, Seattle"
120,Biscuit Bitch,3.8,Southern,$25 for two,"Downtown, Seattle"
121,The Brooklyn,4.3,"Steak, Seafood",$120 for two,"Downtown, Seattle"
122,Rachel's Ginger Beer,4.2,"Beverages, Bar Food",$15 for two,"Pike Place Market, Seattle"
123,Il Corvo,4.3,Italian,$25 for two,"Downtown, Seattle"
124,Chinook's,4.2,"Pacific Northwest, Seafood",$75 for two,"Interbay, Seattle"
125,Tulio,4.3,Italian,$90 for two,"Hotel Vintage, Seattle"
126,Tavol¨¤ta,4.1,Italian,$80 for two,"Belltown, Seattle"
127,Bacco Cafe,4.1,"Pacific Northwest, Cafe",$30 for two,"Inn At The Market, Seattle"
128,Cactus,4.2,"Mexican, Southwestern",$45 for two,"Madison Park, Seattle"
129,Voula's Offshore Cafe,4,"Burger, American",$25 for two,"University District, Seattle"
130,Pike Pub,3.9,"Burger, American",$55 for two,"Downtown, Seattle"
131,RN74 Seattle,4.1,"Pacific Northwest, French",$125 for two,"Downtown, Seattle"
132,Aqua by El Gaucho,4,"Seafood, Pacific Northwest",$150 for two,"Belltown, Seattle"
133,Palisade,4,"Seafood, Hawaiian",$120 for two,"Magnolia, Seattle"
134,Mashiko Japanese Restaurant & Sushi Bar,4.2,"Sushi, Japanese",$60 for two,"West Seattle, Seattle"
135,Jak's Grill,4.3,"Steak, Seafood, American",$75 for two,"West Seattle, Seattle"
136,Kabul Afghan Cuisine,4.3,"Vegetarian, Mediterranean, Afghan",$70 for two,"Wallingford, Seattle"
137,Araya's Vegetarian Place,4.2,"Thai, Vegetarian",$40 for two,"University District, Seattle"
138,Ivar's Acres of Clams,4.2,"Fast Food, Seafood",$95 for two,"Downtown, Seattle"
139,Elysian Brewing Co.,4.1,"Pub Food, American",$50 for two,"Capitol Hill, Seattle"
140,Art of the Table,4,Pacific Northwest,$50 for two,"Wallingford, Seattle"
141,Tsukushinbo,4.1,"Ramen, Japanese, Sushi",$75 for two,"International District, Seattle"
142,Ba Bar,3.8,"Vietnamese, Bakery",$45 for two,"Capitol Hill, Seattle"
143,Tavern Law,4,American,$75 for two,"Capitol Hill, Seattle"
144,Pair,4.2,"American, Pacific Northwest",$50 for two,"Ravenna, Seattle"
145,Maximilien,4.1,French,$110 for two,"Pike Place Market, Seattle"
146,List,4.3,"Tapas, Italian",$45 for two,"Belltown, Seattle"
147,Mistral Kitchen,3.9,"Seafood, American, French",$150 for two,"Downtown, Seattle"
148,Musashi's,4.1,"Sushi, Japanese",$30 for two,"Wallingford, Seattle"
149,Palomino,4,"Pizza, Italian",$60 for two,"Downtown, Seattle"
150,Blueacre Seafood,4.1,"Seafood, American",$95 for two,"Downtown, Seattle"
151,El Camino,4.1,"Pacific Northwest, Mexican",$40 for two,"Fremont, Seattle"
152,Shanghai Garden Restaurant II,4.1,Chinese,$45 for two,"International District, Seattle"
153,Vios Cafe,4.2,"Tapas, Greek",$40 for two,"Capitol Hill, Seattle"
154,Annapurna Cafe,4.1,"Indian, Nepalese, Tibetan",$40 for two,"Capitol Hill, Seattle"
155,Other Coast Cafe,4.2,Sandwich,$35 for two,"Ballard, Seattle"
156,Feierabend,4.1,German,$40 for two,"South Lake Union, Seattle"
157,Plum Bistro,3.9,"American, Vegetarian",$80 for two,"Capitol Hill, Seattle"
158,Dragonfish Asian Cafe - Paramount Hotel,4,Asian,$40 for two,"Paramount Hotel, Seattle"
159,Il Terrazzo Carmine,4.3,Italian,$160 for two,"Downtown, Seattle"
160,La Medusa,4.1,"Italian, Mediterranean",$55 for two,"Columbia City, Seattle"
161,The Matador,4.1,"Mexican, Tex-Mex",$60 for two,"Ballard, Seattle"
162,Bitterroot BBQ,4,"BBQ, Southern",$75 for two,"Ballard, Seattle"
163,Veraci Pizza,4.4,Pizza,$35 for two,"Ballard, Seattle"
164,Din Tai Fung,4.1,"Taiwanese, Chinese",$45 for two,"University District, Seattle"
165,Momiji,4.2,"Sushi, Japanese",$70 for two,"Capitol Hill, Seattle"
166,RE:PUBLIC,4.1,"French, Italian, Fusion",$50 for two,"South Lake Union, Seattle"
167,Elliott Bay Brewery Pub,4.2,"Burger, Pacific Northwest",$40 for two,"West Seattle, Seattle"
168,13 Coins,3.9,"Steak, American, Seafood",$50 for two,"South Lake Union, Seattle"
169,Il Fornaio,3.9,Italian,$65 for two,"Pacific Place, Seattle"
170,Cicchetti,4.1,"Mediterranean, Tapas",$65 for two,"Eastlake/Lake Union, Seattle"
171,Alibi Room,4.3,New American,$50 for two,"Pike Place Market, Seattle"
172,Saffron Grill,4.2,"Indian, Mediterranean",$45 for two,"Hotel Nexus, Seattle"
173,Poquitos,3.9,"Latin American, Mexican",$50 for two,"Capitol Hill, Seattle"
174,Mamma Melina,4,"Pizza, Italian",$40 for two,"University District, Seattle"
175,Loulay Kitchen & Bar,3.8,French,$85 for two,"Sheraton Seattle Hotel, Seattle"
176,Long Provincial Vietnamese Restaurant,4.3,Vietnamese,$40 for two,"Downtown, Seattle"
177,Il Bistro,4.1,Italian,$70 for two,"Pike Place Market, Seattle"
178,Cafe Lago,4,"Italian, Pizza",$65 for two,"Capitol Hill, Seattle"
179,Snappy Dragon,3.7,"Chinese, Asian",$40 for two,"Maple Leaf, Seattle"
180,Dick's Drive-In,3.9,Fast Food,$15 for two,"Wallingford, Seattle"
181,Samurai Noodle House,4.2,Japanese,$30 for two,"International District, Seattle"
182,RoRo BBQ,4.2,"Sandwich, BBQ",$35 for two,"Wallingford, Seattle"
183,Pecos Pit Barbeque,4,BBQ,$20 for two,"Sodo, Seattle"
184,Mojito,4.1,"Caribbean, Cuban, Latin American",$35 for two,"Maple Leaf, Seattle"
185,Malena's Taco Shop,4,"Taco, Pacific Northwest",$25 for two,"Queen Anne: Upper, Seattle"
186,Trophy Cupcakes,4.1,Desserts,$20 for two,"Wallingford, Seattle"
187,Altura,4.1,Italian,$300 for two,"Capitol Hill, Seattle"
188,Hot Mama's Pizza,4,Pizza,$25 for two,"Capitol Hill, Seattle"
189,Kedai Makan,4,Malaysian,$25 for two,"Capitol Hill, Seattle"
190,The 5 Point Cafe,4.1,American,$35 for two,"Belltown, Seattle"
191,Nikos Gyros,4.1,"Greek, Mediterranean",$30 for two,"Magnolia, Seattle"
192,Island Soul,4,"Caribbean, Cuban",$40 for two,"Columbia City, Seattle"
193,Frank's Oyster House & Champagne Parlor,4,"Seafood, American",$45 for two,"Ravenna, Seattle"
194,Monkey Bridge,4.2,Vietnamese,$40 for two,"Ballard, Seattle"
195,Six Arms,4,American,$60 for two,"Capitol Hill, Seattle"
196,Daniel's Broiler - Lake Union,3.9,"Steak, Seafood",$150 for two,"South Lake Union, Seattle"
197,In the Bowl,4,"Thai, Asian",$40 for two,"Capitol Hill, Seattle"
198,Hot Cakes,4,"Desserts, Coffee and Tea, Beverages",$20 for two,"Ballard, Seattle"
199,Seven Stars Pepper Szechuan Restaurant,4,"Sichuan, Chinese",$25 for two,"International District, Seattle"
200,El Chupacabra,3.9,"Vegetarian, Mexican",$35 for two,"Greenwood/Phinney, Seattle"
201,Nijo Sushi Bar & Grill,3.9,"Sushi, Japanese",$55 for two,"Downtown, Seattle"
202,Marjorie,4.1,Pacific Northwest,$65 for two,"Capitol Hill, Seattle"
203,Jai Thai,4,"Thai, Asian",$30 for two,"Fremont, Seattle"
204,King's Hardware,4.1,"Burger, Bar Food",$35 for two,"Ballard, Seattle"
205,Guanaco's Tacos Pupuseria,4,"Mexican, Latin American",$20 for two,"University District, Seattle"
206,Mike's Chili Parlor,3.4,"Chili, American",$20 for two,"Ballard, Seattle"
207,Rosita's Mexican Grill,4,Mexican,$50 for two,"Green Lake, Seattle"
208,Mike's Noodle House,4,Chinese,$25 for two,"International District, Seattle"
209,Chandler's Crabhouse,3.9,"Seafood, Pacific Northwest",$80 for two,"South Lake Union, Seattle"
210,Circa,4.1,"Burger, American",$45 for two,"West Seattle, Seattle"
211,Bar del Corso,3.9,Italian,for two,"Beacon Hill, Seattle"
212,The Corson Building,3.7,"Pacific Northwest, American",$115 for two,"Georgetown, Seattle"
213,Place Pigalle,4,"French, Seafood",$95 for two,"Pike Place Market, Seattle"
214,Cutters Crabhouse,3.7,"Pacific Northwest, Seafood, Sushi",$75 for two,"Downtown, Seattle"
215,Mr. Gyros,4.2,"Greek, Middle Eastern",$25 for two,"Greenwood/Phinney, Seattle"
216,Aloha Ramen,3.7,"Ramen, Japanese",$25 for two,"Lake City, Seattle"
217,FareStart,4.1,"Vegetarian, Pacific Northwest, American",$40 for two,"Downtown, Seattle"
218,Thaiku,3.9,Thai,$50 for two,"Greenwood/Phinney, Seattle"
219,Moshi Moshi Sushi,3.8,Sushi,$50 for two,"Ballard, Seattle"
220,The Tin Table,3.9,Pacific Northwest,$75 for two,"Capitol Hill, Seattle"
221,Bistro Turkuaz,4,"Greek, Middle Eastern, Iranian",$50 for two,"Madrona/Leschi, Seattle"
222,Jolly Roger Taproom,4,Bar Food,$65 for two,"Ballard, Seattle"
223,Smarty Pants,4.1,Sandwich,$40 for two,"Georgetown, Seattle"
224,Bick's Broadview Grill,4,"Steak, American",$45 for two,"Broadview / Bitter Lake, Seattle"
225,I Love Sushi,3.8,"Sushi, Japanese",$50 for two,"South Lake Union, Seattle"
226,Tap House Grill,3.6,American,$45 for two,"Downtown, Seattle"
227,Shultzy's Sausage,4.1,"American, Sandwich",$30 for two,"University District, Seattle"
228,Rhein Haus Seattle,3.8,"German, Pub Food",$50 for two,"Capitol Hill, Seattle"
229,Betty,4,Pacific Northwest,$80 for two,"Queen Anne: Upper, Seattle"
230,Rione XIII,4.1,"Pizza, Italian",$80 for two,"Capitol Hill, Seattle"
231,Latona Pub,4.2,Pub Food,$40 for two,"Green Lake, Seattle"
232,Fonda La Catrina,3.9,Mexican,$30 for two,"Georgetown, Seattle"
233,Mori Sushi,3.5,"Sushi, Japanese",for two,"Greenwood/Phinney, Seattle"
234,Tup Tim Thai,4,"Vegetarian, Thai, Vietnamese",$35 for two,"Queen Anne: Lower, Seattle"
235,Kauai Family Restaurant,4,Hawaiian,$25 for two,"Georgetown, Seattle"
236,Agrodolce,3.8,"Italian, Pacific Northwest",$80 for two,"Fremont, Seattle"
237,Thai Siam,4,Thai,$30 for two,"Ballard, Seattle"
238,Ristorante Picolinos,3.7,"Pizza, Italian",$50 for two,"Ballard, Seattle"
239,Pintxo,3.8,"Tapas, Spanish",$60 for two,"Belltown, Seattle"
240,Chiang's Gourmet,4,"Dim Sum, Sichuan, Chinese",$50 for two,"Maple Leaf, Seattle"
241,The Capital Grille,3.9,"Steak, Seafood",$130 for two,"Downtown, Seattle"
242,Stoneburner,4,"Pizza, American",$60 for two,"Ballard, Seattle"
243,Katsu Burger,3.9,"Burger, Japanese",$20 for two,"Georgetown, Seattle"
244,Roti,3.8,"Vegetarian, Indian",$50 for two,"Queen Anne: Lower, Seattle"
245,Seatown Seabar & Rotisserie,3.9,"Pacific Northwest, Seafood",$65 for two,"Downtown, Seattle"
246,El Quetzal Bar & Lounge,4.1,Mexican,$40 for two,"Beacon Hill, Seattle"
247,Pho Cyclo Cafe,3.9,"Asian, Vietnamese",$25 for two,"Capitol Hill, Seattle"
248,MOD Pizza,4.2,Pizza,$20 for two,"Downtown, Seattle"
249,Chan Seattle,4,Korean,$45 for two,"Inn At The Market, Seattle"
250,Starbucks Reserve Roastery & Tasting Room,4.2,Cafe,$25 for two,"Capitol Hill, Seattle"
251,Assaggio Ristorante - Hotel Andra,3.8,Italian,$60 for two,"Hotel Andra, Seattle"
252,Flying Squirrel Pizza Co.,4,"Pizza, Coffee and Tea",$40 for two,"Rainier Valley, Seattle"
253,Citizen,4.1,Cafe,$25 for two,"Queen Anne: Lower, Seattle"
254,India Bistro,3.7,"Vegetarian, Indian, Desserts",$40 for two,"Ballard, Seattle"
255,Queen Sheba,4.1,"Ethiopian, African",$40 for two,"Capitol Hill, Seattle"
256,Marination Station,4,"Korean, Hawaiian",$40 for two,"Capitol Hill, Seattle"
257,74th Street Ale House,4.1,Pub Food,$40 for two,"Greenwood/Phinney, Seattle"
258,Nell's,4,Pacific Northwest,$80 for two,"Green Lake, Seattle"
259,Bambino's,3.9,Pizza,$40 for two,"Belltown, Seattle"
260,La Creperie Voila,4.2,"Cafe, French",$20 for two,"Downtown, Seattle"
261,Cupcake Royale,3.9,"Coffee and Tea, Desserts",$25 for two,"Ballard, Seattle"
262,8 Oz Burger & Co,3.6,"Burger, American",$45 for two,"Capitol Hill, Seattle"
263,Shuckers,4.1,"Seafood, Pacific Northwest",$110 for two,"Fairmont Olympic Hotel, Seattle"
264,Wann Japanese Izakaya,3.9,"Sushi, Japanese",$45 for two,"Belltown, Seattle"
265,Ohana,4.1,"Sushi, Japanese, Hawaiian",$50 for two,"Belltown, Seattle"
266,Hale's Ales Brewpub,2.9,Burger,$75 for two,"Fremont, Seattle"
267,Racha Noodles & Thai Cuisine,3.9,Thai,$40 for two,"Queen Anne: Lower, Seattle"
268,Little Water Cantina,3.8,Mexican,$50 for two,"Eastlake/Lake Union, Seattle"
269,Sushi Kappo Tamura,3.8,"Sushi, Japanese",$70 for two,"Eastlake/Lake Union, Seattle"
270,Oliver's Twist,4,Tapas,$30 for two,"Greenwood/Phinney, Seattle"
271,Lee's Asian Restaurant,4,Asian,$40 for two,"West Seattle, Seattle"
272,Cuoco,3.5,Italian,$65 for two,"South Lake Union, Seattle"
273,Hattie's Hat,4.2,American,$35 for two,"Ballard, Seattle"
274,Bengal Tiger Cuisine of India,4.1,Indian,$50 for two,"Ravenna, Seattle"
275,Voila! Bistrot,3.9,French,$60 for two,"Madison Park, Seattle"
276,Buca di Beppo Italian Restaurant,3.1,"Pizza, Italian",$50 for two,"South Lake Union, Seattle"
277,Pho Than Brothers,4.1,"Asian, Vietnamese",$25 for two,"Capitol Hill, Seattle"
278,Blue Moon Burgers,3.7,"Burger, American",$25 for two,"Fremont, Seattle"
279,Kells Irish Restaurant & Pub,4,"Pub Food, Irish",$50 for two,"Pike Place Market, Seattle"
280,Fainting Goat Gelato,4,"Ice Cream, Desserts",$15 for two,"Wallingford, Seattle"
281,Norm's Eatery & Ale House,4.1,"Bar Food, Burger, American",$45 for two,"Fremont, Seattle"
282,Marrakesh Moroccan Restaurant,3.2,"Moroccan, Mediterranean",$40 for two,"Belltown, Seattle"
283,May,3.8,Thai,$55 for two,"Wallingford, Seattle"
284,Talarico's Pizzeria,4,"Pizza, Italian",$50 for two,"West Seattle, Seattle"
285,Rom Mai Thai,3.9,Thai,$40 for two,"Capitol Hill, Seattle"
286,Bamboo Garden,3.8,"Chinese, Vegetarian",$40 for two,"Queen Anne: Lower, Seattle"
287,The Wandering Goose,3.9,Southern,$45 for two,"Capitol Hill, Seattle"
288,Sichuanese Cuisine,4,"Sichuan, Chinese",$25 for two,"International District, Seattle"
289,Anthony's Pier 66,3.9,"Fish and Chips, Fast Food, Seafood",$110 for two,"Belltown, Seattle"
290,Tacos Chuk¨ªs,3.9,Mexican,$25 for two,"Capitol Hill, Seattle"
291,Benihana,3.8,"Sushi, Japanese",$110 for two,"Downtown, Seattle"
292,Bimbo's Cantina,3.5,Tex-Mex,$30 for two,"Capitol Hill, Seattle"
293,Petra Mediterranean Bistro,3.7,"Greek, Mediterranean, Middle Eastern",$50 for two,"Belltown, Seattle"
294,West 5,3.9,"Sandwich, American",$30 for two,"West Seattle, Seattle"
295,Kimchi Bistro,3.8,"Korean, Asian",$35 for two,"Capitol Hill, Seattle"
296,La Vita ¨¦ Bella,3.8,"Pizza, Italian",$45 for two,"Belltown, Seattle"
297,Pegasus Pizza & Pasta,3.7,"Greek, Pizza, Sandwich",$40 for two,"West Seattle, Seattle"
298,Hopvine Pub,4,"Pub Food, American",$50 for two,"Capitol Hill, Seattle"
299,Taylor Shellfish Oyster Bar,3.8,"Pacific Northwest, Seafood",$65 for two,"Melrose Market, Seattle"
300,Toyoda Sushi,3.9,"Sushi, Japanese",$55 for two,"Lake City, Seattle"
301,Gelatiamo,3.9,"Cafe, Desserts, Bakery",$10 for two,"Downtown, Seattle"
302,The Two Bells,3.9,"Burger, Bar Food",$30 for two,"Belltown, Seattle"
303,Taste Caf¨¦ & Events,4,Pacific Northwest,$40 for two,"Downtown, Seattle"
304,Lloyd Martin,3.8,New American,$130 for two,"Queen Anne: Upper, Seattle"
305,Jamjuree,4,Thai,$35 for two,"Capitol Hill, Seattle"
306,Pig Iron Bar-B-Q,3.9,"American, BBQ, Southern",$75 for two,"Georgetown, Seattle"
307,Saltoro,4,Italian,$60 for two,"Broadview / Bitter Lake, Seattle"
308,Duke's Seafood,3.9,"Pacific Northwest, Seafood",$60 for two,"Green Lake, Seattle"
309,Little Uncle,3.7,Thai,$25 for two,"Capitol Hill, Seattle"
310,Sweet Iron Waffles,3.9,"Belgian, Coffee and Tea",$20 for two,"Downtown, Seattle"
311,Hilltop Ale House,4,Pub Food,$45 for two,"Queen Anne: Upper, Seattle"
312,Kona Kitchen,3.7,Hawaiian,$40 for two,"Maple Leaf, Seattle"
