,title,genre,rating,price,address
53,The Butler And The Bayleaf,"North Indian, Awadhi, Kebab, Lucknowi",4.5,"₹2,000 for two","Hotel King's International, Juhu, Mumbai"
54,The Goose & Gridiron,"European, Continental, North Indian, Desserts, Fast Food",4.0,"₹1,500 for two","Fort, Mumbai"
55,Hard Rock Cafe,"American, Continental, Italian, Salad, Beverages, Shake",3.9,"₹1,500 for two","Seawoods Grand Central Mall, Seawoods, Navi Mumbai"
56,Recca,"Continental, Seafood, Pizza, Healthy Food, Mediterranean, Beverages, Desserts",3.8,"₹2,400 for two","Fort, Mumbai"
57,Mia Cuccinna,"Continental, European, Italian, Panini, Pizza, Salad, Desserts",4.2,"₹2,000 for two","Hill Road, Bandra West, Mumbai"
58,The Bigg Small Cafe + Bar,"Fast Food, Modern Indian, Chinese, Continental, North Indian, Desserts, Beverages",4.4,"₹1,300 for two","Sakinaka, Mumbai"
59,Nho Saigon,"Vietnamese, Asian, Finger Food, Beverages",4.2,"₹1,500 for two","Jet Airways Godrej, Bandra Kurla Complex, Mumbai"
60,Same Place Same Time - Hog & Chug,"Italian, Asian, Continental, Modern Indian, Fast Food, North Indian, Beverages",4.3,"₹1,800 for two","Andheri Lokhandwala, Andheri West, Mumbai"
61,Rude Lounge,"North Indian, Italian, Chinese, Continental, BBQ",4.2,"₹1,600 for two","Powai, Mumbai"
62,Doolally Taproom,"Finger Food, American, Italian, Beverages, Fast Food",4.7,"₹2,200 for two","Veera Desai Area, Mumbai"
63,Level 1 - Bet Bar,"Finger Food, Japanese, American, Italian, Asian",4.2,"₹1,600 for two","Andheri Lokhandwala, Andheri West, Mumbai"
64,Rule 34,"North Indian, Chinese, Continental, Beverages",4.2,"₹1,400 for two","Kandivali West, Mumbai"
65,Dirty Martini - Kitchen & Cocktail Bar,"Italian, European, Pizza, Pasta, Continental, Chinese, Thai",3.9,"₹1,800 for two","Reclamation, Bandra West, Mumbai"
66,Younion,"Finger Food, Finger Food, Continental, European, Chinese, North Indian",4.2,"₹1,800 for two","Kamala Mills Compound, Mumbai"
67,Samvene - The Bagel Cafe,"Cafe, Salad, Continental, Fast Food, Desserts, Beverages, Shake",4.3,₹900 for two,"Malad West, Mumbai"
68,Raasta,"Continental, Seafood, Italian, Finger Food, Fast Food",4.3,"₹1,500 for two","Khar, Mumbai"
69,Jamjar Diner,"Italian, Mexican, Healthy Food, Finger Food, Pizza, Beverages",4.3,"₹1,600 for two","Hill Road, Bandra West, Mumbai"
70,The Daily All Day Mumbai,"Mediterranean, Italian, European, Beverages",4.4,"₹2,000 for two","Linking Road, Bandra West, Mumbai"
71,Warehouse Kitchenbar,"North Indian, Mughlai, Asian, Chinese, Continental, Desserts, Beverages, Sichuan",4.4,"₹1,600 for two","Malad West, Mumbai"
72,Cavalry The Lounge,"North Indian, Chinese, Beverages, Fast Food, Desserts",4.3,"₹1,800 for two","Powai, Mumbai"
73,Cafe Panama,"Mexican, European, Desserts, Beverages",3.5,"₹2,000 for two","Lower Parel, Mumbai"
74,Nxt Lvl,"North Indian, Continental, Bar Food",4.1,"₹1,500 for two","Wagle Estate, Thane West, Thane"
75,Leopold Cafe & Bar,"North Indian, Chinese, Continental, Beverages, Desserts",4.2,"₹2,000 for two","Colaba, Mumbai"
76,The Tanjore Tiffin Room,"Chettinad, South Indian, Biryani, Beverages",4.8,"₹1,500 for two","Versova, Andheri West, Mumbai"
77,Capital Social,"North Indian, Chinese, Burger, Biryani, Sandwich, Pizza, Rolls, Salad",4.4,"₹1,400 for two","Bandra Kurla Complex, Mumbai"
78,Out Of The Blue,"European, Continental, Italian, Fast Food, Beverages, Mediterranean",4.1,"₹1,800 for two","Le Sutra Hotel, Khar, Mumbai"
79,Roots Of India,"North Indian, Biryani, Chinese, Mughlai, Asian, Desserts, Beverages",4.3,"₹1,800 for two","Times Square, Marol, Mumbai"
80,JLWA,"Modern Indian, Middle Eastern, North Indian, Mughlai, Italian",4.4,"₹2,100 for two","Veera Desai Area, Mumbai"
81,Kaala Chashma,"North Indian, Asian, Italian, Desserts, Seafood, Beverages, Thai",4.4,"₹1,000 for two","Wagle Estate, Thane West, Thane"
82,Angrezi Dhaba,"North Indian, Mughlai, Asian, Kebab, Seafood, Desserts, Beverages, Sichuan",4.3,"₹1,000 for two","Linking Road, Bandra West, Mumbai"
83,Bayroute,"Middle Eastern, Arabian",4.9,"₹3,000 for two","Powai, Mumbai"
84,Bar Tales,"Bar Food, Continental, Lebanese, Pizza, Pasta, North Indian, Desserts",4.2,"₹1,500 for two","Mulund West, Mumbai"
85,Chili's American Grill & Bar,"American, Mexican, Burger, Tex-Mex",4.3,"₹1,600 for two","Powai, Mumbai"
86,The Timess Square,"Fast Food, Continental, Chinese, North Indian, Beverages, Desserts",4.4,"₹1,500 for two","Borivali West, Mumbai"
87,Cafe Mondegar,"Continental, North Indian, Mughlai, Chinese, Fast Food, Beverages",4.4,"₹1,300 for two","Colaba, Mumbai"
88,Toast & Tonic,"Asian, Continental, Desserts, Fast Food",4.5,"₹1,700 for two","Jet Airways Godrej, Bandra Kurla Complex, Mumbai"
89,The Union Bar & Eating House,"North Indian, European, Asian, Chinese, Finger Food",4.7,"₹1,400 for two","Vashi, Navi Mumbai"
90,The Homemade Cafe & Bar,"Cafe, Italian, Continental, Beverages, Shake, Pizza, Pasta, Desserts",4.2,"₹1,200 for two","Juhu, Mumbai"
91,The Fusion Kitchen,"Continental, Mexican, Italian, Thai, Asian, Desserts, Beverages",4.9,"₹1,600 for two","Borivali West, Mumbai"
92,Bombay Adda,"Bar Food, Continental",4.3,"₹2,000 for two","Santacruz West, Mumbai"
93,Lord Of Bar- B-Que,"North Indian, Chinese, Beverages, Desserts",4.4,"₹1,600 for two","Khopat, Thane West, Thane"
94,Gadda Da Vida - Novotel Mumbai Juhu Beach,"Continental, Fast Food, Seafood",4.3,"₹4,500 for two","Novotel, Juhu, Mumbai"
95,Hoppipola,"Continental, Mediterranean, Fast Food",4.2,"₹1,400 for two","Infiniti Mall, Malad West, Mumbai"
96,Bora Bora,"Continental, Chinese, North Indian",4.0,"₹1,800 for two","Juhu, Mumbai"
97,True Tramm Trunk,"Finger Food, Fast Food, Continental, Beverages, Desserts, North Indian, Pizza",4.0,"₹1,900 for two","Bandra Kurla Complex, Mumbai"
98,Light House Cafe,"Continental, Italian, Pizza, Desserts, Beverages",4.1,"₹1,800 for two","Worli, Mumbai"
99,The Secret,"Asian, Chinese, North Indian, Italian, Continental, Beverages, Desserts",4.1,"₹2,000 for two","Manpada, Thane West, Thane"
100,La La Land,"Modern Indian, Italian",3.2,"₹1,500 for two","Atria Mall, Worli, Mumbai"
101,Mato Mato,"North Indian, Chinese, Continental, Italian",4.2,"₹1,500 for two","Hiranandani Estate, Thane West, Thane"
102,Mockingbird Cafe Bar,"Italian, French, Salad, Desserts, Beverages, Shake",4.4,"₹1,700 for two","Churchgate, Mumbai"
103,Phelia Lounge,"Italian, North Indian, Chinese, Fast Food, Shake",4.2,"₹2,400 for two","Malad West, Mumbai"
104,Farzi Cafe,"North Indian, Mughlai",4.3,"₹1,800 for two","High Street Phoenix, Lower Parel, Mumbai"
105,Flamiingo Lounge,"Bar Food, Oriental, Continental, North Indian, Pizza, Salad, Desserts, Beverages",4.2,"₹1,100 for two","CBD-Belapur, Navi Mumbai"
106,Mastee,"North Indian, Sushi, Italian, Desserts",4.3,"₹2,000 for two","Borivali West, Mumbai"
107,Callisto Bistro Bar,"North Indian, Chinese, Italian, Seafood",4.4,"₹1,400 for two","Borivali West, Mumbai"
108,Toast - Bistro & Bar,"North Indian, Chinese, Fast Food, Pizza, Burger, Continental",4.4,"₹1,900 for two","T24 Residency, Marol, Mumbai"
109,Yeda Republic,"Finger Food, North Indian",4.3,"₹2,300 for two","Juhu, Mumbai"
110,Copper Chimney,"North Indian, Mughlai, Rolls",4.3,"₹1,300 for two","Worli, Mumbai"
111,Salt Water Cafe,"Italian, Pasta, Burger, Salad, Sandwich, Healthy Food, Desserts, Beverages",4.4,"₹1,600 for two","Bandstand, Bandra West, Mumbai"
112,BrewDog Mid-Town Mumbai,"Finger Food, Street Food, Continental, Desserts, Beverages",4.0,"₹1,500 for two","Kamala Mills Compound, Mumbai"
113,Coconuts Lagoon,"Seafood, Mangalorean, Malwani, North Indian, Chinese, Finger Food, Beverages",4.2,₹900 for two,"Manpada, Thane West, Thane"
114,R Hapi Brewing Co,"North Indian, Chinese, Mughlai, Biryani",3.6,"₹1,200 for two","Mira Road, Mumbai"
115,Amanzi Sky Deck And Bar,"Continental, North Indian, Pizza, Fast Food, Desserts, Beverages",4.1,"₹1,000 for two","Hill Road, Bandra West, Mumbai"
116,The Orange Mint,"Bar Food, North Indian, Chinese, Beverages",4.1,"₹1,600 for two","Vashi, Navi Mumbai"
117,Gold Coins Veg X,"North Indian, Continental, Chinese, Italian, Mughlai, Beverages",4.3,"₹1,600 for two","Tardeo, Mumbai"
118,The Atrangii House,"North Indian, Chinese, Finger Food, Asian, Italian, Desserts",4.4,"₹1,500 for two","Airoli, Navi Mumbai"
119,U Turn,"North Indian, Chinese, Continental",4.1,"₹1,400 for two","Khar, Mumbai"
120,Club Bombay at Sheesha Sky Lounge,"North Indian, Chinese, Mughlai, Kebab, Beverages, Fast Food, Continental, Bar Food",4.2,"₹1,500 for two","Juhu, Mumbai"
121,PizzaExpress,"Pizza, Fast Food, Italian, Desserts, Beverages",4.4,"₹1,500 for two","Veera Desai Area, Mumbai"
122,MRP - My Regular Place,"Asian, North Indian, Continental",4.1,"₹1,500 for two","Dadar East, Mumbai"
123,Cafe Holiday,"Continental, Oriental, American, Fast Food, Desserts, Beverages",4.0,"₹1,500 for two","7 Bungalows, Andheri West, Mumbai"
124,It's Mirchi - Ramee Guestline Hotel,"Continental, North Indian, Oriental, Fast Food, Desserts, Beverages",4.1,"₹1,500 for two","Ramee Guestline Hotel, Juhu, Mumbai"
125,TAP,"North Indian, Chinese, Continental, Mexican, Italian, Finger Food, Beverages",4.2,"₹1,500 for two","Times Square, Marol, Mumbai"
126,Finch BrewCafe,"Continental, North Indian, Beverages",4.2,"₹1,200 for two","Powai, Mumbai"
127,Mangii Ferra,"Italian, Continental, Desserts",4.2,"₹2,300 for two","Juhu, Mumbai"
128,18th Century Rooftop Restro & Bar,"North Indian, Continental, Fast Food, Mughlai, Desserts, Beverages",4.5,"₹2,200 for two","Andheri Lokhandwala, Andheri West, Mumbai"
129,Effingut,"Mexican, Continental, North Indian",3.7,"₹2,300 for two","Veera Desai Area, Mumbai"
130,Sirocco,"Italian, Chinese, Fast Food",4.2,"₹1,200 for two","Versova, Andheri West, Mumbai"
131,Pop Tate's,"Chinese, Continental, Fast Food, Italian, Beverages, Finger Food, Desserts",4.3,"₹1,600 for two","Kamala Mills Compound, Mumbai"
132,Taste Of Punjab,"North Indian, Chinese, Fast Food, Pizza, Pasta, Finger Food, Desserts",4.2,"₹1,400 for two","Satra Plaza, Vashi, Navi Mumbai"
133,Tiger Tiger,"Italian, North Indian, Bar Food, Continental, Chinese, Mexican",4.1,"₹1,000 for two","Chembur, Mumbai"
134,Malhar Tribes,"Seafood, Biryani, Goan, Chinese, North Indian, Maharashtrian",4.5,"₹1,600 for two","Marol, Mumbai"
135,Chimichurri,"Finger Food, Japanese, Asian, Beverages, Cantonese, Thai",4.3,"₹1,700 for two","Times Square, Marol, Mumbai"
136,Paps Premium Lounge,"North Indian, Chinese, Bar Food, Beverages, Fast Food",4.1,"₹1,800 for two","Ghodbunder Road, Thane"
137,Doolally Taproom,"Finger Food, American, Italian, Burmese, Fast Food, Beverages, Shake",4.4,"₹2,400 for two","Khar, Mumbai"
138,XOYO - Bar & Club,"North Indian, Continental, Asian, Bar Food",4.1,"₹2,600 for two","Khopat, Thane West, Thane"
139,Amethhyyst XCI,"Italian, Continental, Arabian, Finger Food, Modern Indian, Asian, Desserts",3.7,"₹2,000 for two","Breach Candy, Mumbai"
140,Mia Cucina,"Italian, Pizza, Seafood, Continental, Beverages, Salad, Pasta, Shake",4.3,"₹2,000 for two","Powai, Mumbai"
141,Mia Cucina,"Italian, Pizza, Seafood, Continental, Beverages, Salad, Pasta, Shake",4.3,"₹2,000 for two","Powai, Mumbai"
142,SodaBottleOpenerWala,"Parsi, North Indian, Rolls, Street Food, Desserts, Beverages",4.3,"₹1,300 for two","Bandra Kurla Complex, Mumbai"
143,VICE-Global Tapas Bar,"North Indian, Asian, European",4.0,"₹1,800 for two","Hotel King's International, Juhu, Mumbai"
144,South Bombay Bar,"Modern Indian, Italian, Continental, Finger Food, North Indian",4.2,"₹2,000 for two","Atria Mall, Worli, Mumbai"
145,Trumpet Sky Lounge,"North Indian, Chinese, Mughlai, Desserts",4.3,"₹2,000 for two","Andheri Lokhandwala, Andheri West, Mumbai"
146,Karkhaana 602,"North Indian, Chinese, Mughlai, Maharashtrian",3.9,"₹1,000 for two","Panch Pakhadi, Thane West, Thane"
147,Gurukripa,"North Indian, Mughlai, Chinese, Fast Food, Desserts, Beverages, Kebab",4.2,"₹1,400 for two","Powai, Mumbai"
148,Cafe24 Restobar,"Chinese, North Indian, Fast Food, Beverages, Continental, Italian",4.2,"₹1,800 for two","Vile Parle East, Mumbai"
149,East Asia - Indian | Asian | Continental,"Asian, Chinese, North Indian, Sushi, Continental, Pizza, Pasta",4.4,"₹1,200 for two","Borivali West, Mumbai"
150,Harbour O' Four,"North Indian, Chinese, Italian, Continental",4.3,"₹1,500 for two","Panch Pakhadi, Thane West, Thane"
151,Escobar - Tapas Bar,"Japanese, Sushi, Asian, Chinese, Seafood, Pizza, Kebab, BBQ",4.1,"₹2,500 for two","Linking Road, Bandra West, Mumbai"
152,Mumbai Menu,"North Indian, Chinese, Seafood, Kebab, Mughlai",4.1,"₹1,400 for two","Mira Road, Mumbai"
153,Plum by Bent Chair,"Asian, Sushi, Desserts",4.6,"₹2,500 for two","Worli, Mumbai"
154,The Garrison Bistro,"Continental, North Indian, Pizza, Modern Indian, Finger Food",4.2,"₹2,000 for two","Jogeshwari, Mumbai"
155,Esora,"Sushi, Asian, Italian, Healthy Food",4.3,"₹1,400 for two","Goregaon East, Mumbai"
156,Open Your Soda Bottle,"Chinese, Continental, North Indian, Italian, Beverages",4.1,₹800 for two,"Malad West, Mumbai"
157,Indiana Water's,"Chinese, North Indian, Mughlai, Desserts, Seafood",4.4,"₹1,200 for two","Seawoods Grand Central Mall, Seawoods, Navi Mumbai"
158,The Terrace,"Chinese, Fast Food, Seafood, Desserts, Beverages",4.0,"₹1,400 for two","Juhu, Mumbai"
159,Hangout Lounge & Restro Bar,"Mughlai, North Indian, Chinese",3.9,"₹1,500 for two","Bhayandar, Mumbai"
160,Rodeo Drive - Peninsula Redpine,"American, Fast Food, Beverages, Mexican",4.2,"₹1,800 for two","Peninsula Redpine, Marol, Mumbai"
161,Bombay Cocktail Bar,"North Indian, Chinese, Fast Food, Bar Food, Kebab",4.3,"₹2,500 for two","Andheri Lokhandwala, Andheri West, Mumbai"
162,Buddy's Bar And Canteen,"Fast Food, Chinese, Desserts, Beverages, Finger Food",3.8,₹800 for two,"Malad West, Mumbai"
163,The Bohemia Cafe & Bar,"Italian, Fast Food, Chinese, North Indian, Maharashtrian, Desserts, Beverages",4.0,"₹1,100 for two","CBD-Belapur, Navi Mumbai"
164,Gateway Taproom,"American, Seafood, Continental",4.6,"₹2,300 for two","Jet Airways Godrej, Bandra Kurla Complex, Mumbai"
165,Invincible Boudoir & Jardin,"Bar Food, Asian, Mediterranean, Continental, Beverages",4.1,"₹2,000 for two","Hill Road, Bandra West, Mumbai"
166,Oozo,"Chinese, Italian, Continental, North Indian, Finger Food",4.0,"₹1,800 for two","Sakinaka, Mumbai"
167,Farmhouse Global Cuisine Restaurant,"North Indian, Chinese, Seafood, Fast Food",4.3,"₹1,000 for two","Vasai, Mumbai"
168,Glass House,Finger Food,3.1,"₹2,200 for two","Malad West, Mumbai"
169,Craftbar 2.0,"Bar Food, North Indian, Seafood, Pizza, Continental, Turkish, Desserts, Beverages",4.2,"₹1,800 for two","Chakala, Mumbai"
170,Gymkhana 91 Bar & Kitchen,"North Indian, Japanese, Thai, Burmese, Chinese, Beverages",4.4,"₹1,300 for two","Lower Parel, Mumbai"
171,The Bar Stock Exchange,"Continental, Chinese, North Indian, Bar Food, Pizza, Momos, Desserts, Beverages",4.1,"₹1,300 for two","CBD-Belapur, Navi Mumbai"
172,Dario's,"Italian, Pizza, Salad, Beverages",4.0,"₹1,800 for two","Vashi, Navi Mumbai"
173,Blend N Brew,"North Indian, Chinese, Fast Food, Desserts, Beverages",3.9,"₹1,800 for two","Yogi Midtown, Turbhe, Navi Mumbai"
174,Bombay Drunkyard,"North Indian, Chinese, Continental, Italian, Sichuan",3.8,"₹1,600 for two","Juhu, Mumbai"
175,The Sassy Spoon,"European, Continental, American, Italian, Healthy Food, Asian, Mediterranean, Desserts",4.5,"₹2,000 for two","Nariman Point, Mumbai"
176,Pot Pourri,"Fast Food, Chinese, North Indian",3.8,₹600 for two,"Ghansoli, Navi Mumbai"
177,Splitsvilla Bar & Lounge,"North Indian, Continental",4.0,"₹1,400 for two","Chembur, Mumbai"
178,Breathe,"North Indian, Chinese, Continental, Finger Food",4.2,"₹1,700 for two","Mira Road, Mumbai"
179,The Lantern Bar At Kandeel,"North Indian, Chinese, Mughlai, Seafood, Kebab, Italian, Fast Food, Beverages",4.1,"₹1,200 for two","Fort, Mumbai"
180,The C Cabo Cruise,"North Indian, Pizza, Chinese, Mughlai, Fast Food",3.8,"₹1,000 for two","Owale, Thane West, Thane"
181,Spin City Kitchen & Bar,"Continental, Asian, Biryani, Mughlai, North Indian, Desserts",4.1,"₹1,800 for two","Borivali West, Mumbai"
182,3 Barmen,"Salad, Continental, North Indian, Chinese",3.8,"₹1,000 for two","Malad West, Mumbai"
183,Toco,"South Indian, Italian",4.0,"₹1,600 for two","Andheri Lokhandwala, Andheri West, Mumbai"
184,Pritam's Global Cuisine,"North Indian, Biryani, Chinese, Desserts, Mughlai, Asian, Continental, European",4.1,"₹1,000 for two","Ghodbunder Road, Thane"
185,Olive Bistro,"Italian, Pizza, Fast Food, Continental",4.1,"₹2,300 for two","Oberoi Mall, Goregaon East, Mumbai"
186,Agent Jack's Bar,"Continental, Chinese, North Indian, Italian, Fast Food, Biryani",3.5,₹900 for two,"Borivali West, Mumbai"
187,Genuine Broaster Chicken,"American, Italian, North Indian, Kebab, Biryani, Fast Food",4.3,"₹1,500 for two","Satra Plaza, Vashi, Navi Mumbai"
188,Bombay 49 Kitchen & Bar,"North Indian, Chinese, Mexican, Italian, Shake",3.6,"₹2,100 for two","Juhu, Mumbai"
189,The Irish House,"European, American, Continental, BBQ, Finger Food, Desserts, Beverages",4.4,"₹1,900 for two","Bandra Kurla Complex, Mumbai"
190,Bulldog's Cafe & Bar,"American, Burger, Bar Food, Beverages, Tea, Sandwich, Pizza, Fast Food",3.9,"₹1,000 for two","Veera Desai Area, Mumbai"
191,Something's Fishy - Regenza By Tunga,"Seafood, North Indian, Goan, Italian, Malwani, Mangalorean, Chinese",4.4,"₹1,700 for two","Regenza By Tunga Hotels, Vashi, Navi Mumbai"
192,Hammer & Song,"Asian, Continental, Modern Indian, European, Rolls, Finger Food",4.2,"₹2,000 for two","Cuffe Parade, Mumbai"
193,Shor- The Disc,"Continental, Italian, Asian, Biryani",4.1,"₹1,400 for two","CBD-Belapur, Navi Mumbai"
194,Ooh Pitara - Bar & Kitchen,"Bar Food, Beverages",3.9,₹500 for two,"Sanpada, Navi Mumbai"
195,Farmhouse Sea N Sand,"North Indian, Continental, Chinese",4.4,"₹1,100 for two","Vasai, Mumbai"
196,Bar Bank,"North Indian, Chinese, Continental, Italian",3.9,"₹1,300 for two","Bar Bank, Juhu, Mumbai"
197,Dola Kitchen & Bar,"North Indian, Asian, Continental",4.0,₹850 for two,"Sakinaka, Mumbai"
198,Alfredo's,"Pizza, Mediterranean, Continental, Oriental, Fast Food",4.1,"₹1,700 for two","Malad West, Mumbai"
199,Geoffrey's - Marine Plaza,"Continental, Italian, Pizza, Desserts, Beverages",4.1,"₹2,000 for two","Marine Plaza, Marine Lines, Mumbai"
200,LA CASA - The Lounge,"Chinese, North Indian, Continental, Finger Food, Pizza, Beverages",3.9,"₹1,100 for two","Mira Road, Mumbai"
