,title,genre,rating,price,address
99,Brix Wine Cafe,"Pizza, Italian",3.6,$60 for two,"Kirkland, Kirkland"
100,Anthem Coffee & Tea,"Cafe, New American",3.6,$25 for two,"Tacoma, Tacoma"
101,Kona Kai Coffee Company,"Cafe, Sandwich",3.6,$25 for two,"Kent, Kent"
102,Lake Tapps Brewing Company,Bar Food,-,$25 for two,"Sumner, Sumner"
103,American Brewing Company,Bar Food,-,$40 for two,"Edmonds, Edmonds"
104,The Hungry Pelican,Sandwich,-,$25 for two,"Snohomish, Snohomish"
105,Sweet Decadence Chocolate & Wine Bar,Desserts,3.1,$35 for two,"The Landing in Renton, Renton"
106,7 Seas Brewing,Drinks Only,-,$20 for two,"Gig Harbor, Gig Harbor"
107,190 Sunset,"American, Seafood",3.4,$55 for two,"Edmonds, Edmonds"
108,Vino Bella,Italian,2.9,$60 for two,"Issaquah, Issaquah"
109,Enoteca,"Pacific Northwest, Bar Food",3.5,$50 for two,"Tacoma, Tacoma"
110,Harmon Downtown,"American, Fast Food",-,$20 for two,"Tacoma, Tacoma"
111,Tacoma Brewing Company,Drinks Only,-,$40 for two,"Tacoma, Tacoma"
112,Auburn Wine and Caviar Company,American,-,$25 for two,"Auburn, Auburn"
113,Pacific Brewing & Malting Co.,Drinks Only,-,$15 for two,"Tacoma, Tacoma"
114,Slippery Pig Brewery,Bar Food,-,$30 for two,"Poulsbo, Poulsbo"
115,Crucible Brewing,Bar Food,-,$10 for two,"Everett, Everett"
116,G. Donnalson's,"American, Pacific Northwest, Seafood",-,$40 for two,"Tacoma, Tacoma"
117,Lazy Boy Brewing,Pizza,-,$25 for two,"Everett, Everett"
118,Blanc & Rouge,Tapas,-,$30 for two,"Snohomish, Snohomish"
119,Black Raven Brewing Company,Drinks Only,3.7,$10 for two,"Redmond, Redmond"
120,Ginkgo Forest Winery,Bar Food,-,$30 for two,"Tacoma, Tacoma"
121,Salish Sea Brewing Co.,Bar Food,-,$30 for two,"Edmonds, Edmonds"
122,Village Wines,"Sandwich, Pizza, Tapas",3.3,$60 for two,"Woodinville, Woodinville"
123,Novelty Hill Januik Winery,Pizza,3.6,$80 for two,"Woodinville, Woodinville"
124,Cash Brewing Company,"Bar Food, American",3.2,$40 for two,"Silverdale, Silverdale"
125,Beardslee Public House,Pub Food,3.2,$60 for two,"Bothell, Bothell"
126,Urban City Coffee Roasters,Coffee and Tea,3.5,$25 for two,"Mountlake Terrace, Mountlake Terrace"
127,Wig Wam Pub,"BBQ, Pizza",-,$25 for two,"Bremerton, Bremerton"
128,Slaughter County Brewing Company,"American, Mexican",-,$55 for two,"Port Orchard, Port Orchard"
129,Sound Brewery,Drinks Only,-,$10 for two,"Poulsbo, Poulsbo"
130,Odin Brewery Taproom,Drinks Only,3.4,$25 for two,"Tukwila, Tukwila"
131,D'Vine Wines & D'Lectables,Drinks Only,-,$25 for two,"Kingston, Kingston"
132,Downpour Brewing,Beverages,-,$30 for two,"Kingston, Kingston"
133,Fireside Lounge at Willows Lodge,Pub Food,3.3,$90 for two,"Willows Lodge, Woodinville"
134,Market Vineyards Tasting Room,Drinks Only,-,$50 for two,"Woodinville, Woodinville"
135,Malt & Vine,Drinks Only,3.8,$10 for two,"Redmond, Redmond"
136,Vintage Washington Wine Bar,Pub Food,-,$25 for two,"Airport: Sea-Tac, Seatac"
137,Capri Cellars,Drinks Only,-,$75 for two,"Issaquah, Issaquah"
138,Vessel Taphouse,Drinks Only,-,$30 for two,"Woodinville, Woodinville"
139,Columbia Winery,Pacific Northwest,-,$80 for two,"Woodinville, Woodinville"
140,Tandem Dinner & Wine Bar,"Pacific Northwest, Seafood, Italian",-,for two,"Woodinville, Woodinville"
141,Gorman Winery Tasting Room,Drinks Only,-,$50 for two,"Woodinville, Woodinville"
142,Urban Timber Coffee,Cafe,-,$15 for two,"Kent, Kent"
143,Island Vintners,Tapas,-,$45 for two,"Bainbridge Island, Bainbridge Island"
144,Patterson Cellars Tasting Room,Drinks Only,-,$50 for two,"Woodinville, Woodinville"
145,Refuge & Prospect Winery,Bar Food,-,$25 for two,"Woodinville, Woodinville"
146,Sumerian Brewing,Drinks Only,-,$10 for two,"Woodinville, Woodinville"
147,Covington Cellars,Drinks Only,-,$75 for two,"Woodinville, Woodinville"
148,Woodinville Whiskey Company Tasting Room,Drinks Only,-,$50 for two,"Woodinville, Woodinville"
149,Matthews Winery Tasting Room,Drinks Only,-,$50 for two,"Woodinville, Woodinville"
150,Hop and Hound,Bar Food,-,$25 for two,"Bothell, Bothell"
151,Castillo De Feliciana Winery & Tasting Room,Drinks Only,-,$45 for two,"Woodinville, Woodinville"
152,J. Bookwalter Tasting Room,Drinks Only,-,$20 for two,"Woodinville, Woodinville"
153,Bushnell Craft Brewing Company,Burger,3.7,$45 for two,"Redmond, Redmond"
154,Alexandria Nicole Cellars,Drinks Only,-,$20 for two,"Woodinville, Woodinville"
155,William Church,Drinks Only,-,$80 for two,"Woodinville, Woodinville"
156,Chandler Reach,Drinks Only,-,$50 for two,"Woodinville, Woodinville"
157,Sparkman Cellars,Drinks Only,-,for two,"Woodinville, Woodinville"
158,Patit Creek Cellars,Drinks Only,-,$45 for two,"Woodinville, Woodinville"
159,Cougar Crest Estate Winery,Drinks Only,-,$60 for two,"Woodinville, Woodinville"
160,Fidelitas Wines Tasting Room,Drinks Only,-,$50 for two,"Woodinville, Woodinville"
161,Torii Mor Winery,Drinks Only,-,$50 for two,"Woodinville, Woodinville"
162,Mark Ryan Winery,Drinks Only,-,$60 for two,"Woodinville, Woodinville"
163,Girly Girl,Drinks Only,-,$30 for two,"Woodinville, Woodinville"
164,Genoa,Drinks Only,-,$40 for two,"Woodinville, Woodinville"
165,Pepper Bridge Tasting Room,Drinks Only,-,$80 for two,"Woodinville, Woodinville"
166,Silver Lake Wine Garden,Drinks Only,-,for two,"Woodinville, Woodinville"
167,Cave B Estate Winery,Drinks Only,-,$30 for two,"Woodinville, Woodinville"
168,Lachini Vineyards,Drinks Only,-,$40 for two,"Woodinville, Woodinville"
169,Dusted Valley Wine Gallery,Drinks Only,-,$20 for two,"Woodinville, Woodinville"
170,Brian Carter Cellars,Drinks Only,-,$20 for two,"Woodinville, Woodinville"
171,The Carriage House Tasting Room,Drinks Only,-,$120 for two,"Woodinville, Woodinville"
172,Goose Ridge,Drinks Only,-,$40 for two,"Woodinville, Woodinville"
173,Darby Winery,Drinks Only,-,$80 for two,"Woodinville, Woodinville"
174,Long Shadows Tasting Room,Bar Food,-,$40 for two,"Woodinville, Woodinville"
175,Forgeron Cellars,Drinks Only,-,$35 for two,"Woodinville, Woodinville"
176,Icon Cellars,Drinks Only,-,$40 for two,"Woodinville, Woodinville"
177,Skyriver Meadery & Tasting Room,Drinks Only,-,$40 for two,"Woodinville, Woodinville"
178,Pleasant Hill Cellars Tasting Room,Drinks Only,-,$50 for two,"Woodinville, Woodinville"
179,Bainbridge Brewing,Bar Food,-,$20 for two,"Bainbridge Island, Bainbridge Island"
180,Bellevue Brewing Company,"Bar Food, Pizza, American",3.8,$20 for two,"Bellevue, Bellevue"
181,World Of Wines,Drinks Only,-,$25 for two,"Redmond, Redmond"
182,Suzanne Maurice Wine Bar,Drinks Only,-,$35 for two,"Bainbridge Island, Bainbridge Island"
183,Frankies B-Town Bistro,Italian,-,$60 for two,"Burien, Burien"
184,Hi-Fi Brewing Company,Drinks Only,-,$25 for two,"Redmond, Redmond"
185,Fletcher Bay Winery,Tapas,-,$40 for two,"Bainbridge Island, Bainbridge Island"
186,The Grape Choice,Tapas,3.4,$35 for two,"Kirkland, Kirkland"
187,Resonate,American,-,$40 for two,"Bellevue, Bellevue"
188,Ram Restaurant & Brewery,"Burger, American",3.4,$55 for two,"Issaquah, Issaquah"
189,Maison Delille Wine Lounge,Tapas,-,$40 for two,"Kirkland, Kirkland"
190,deVine Wines,Tapas,-,$30 for two,"Mill Creek, Mill Creek"
191,Mercato Stellina Pizzeria,Italian,3.4,$40 for two,"Bellevue, Bellevue"
192,Cypress Lounge & Wine Bar - Westin Bellevue,"Pacific Northwest, American",3.2,$80 for two,"Bellevue, Bellevue"
193,McMenamins Anderson School,Bar Food,3.0,for two,"Bothell, Bothell"
194,Savage Moose,Bar Food,-,$30 for two,"Kenmore, Kenmore"
